Timestamp,0.2 Can I confirm that the Brigade you are in is: ,"1.0.0 Hosting hack nights, how would you rank this 0 through 6","1.0.1 Days of action (for example, the National Day of Civic Hacking this past September)",1.0.2 Cultivating government partnerships,1.0.3 Cultivating community partnerships,1.0.4 Hosting a workshop to help partners identify user needs,1.0.5 Practicing lean software development,1.0.6 Conducting user testing,1.0.7 Code of Conduct - what happens after the fork - creating strategies for how to deal with Code of Conduct violations,1.0.8 Building a core team,1.0.9 Drafting a strategic plan for your brigade,1.0.10 Drafting a strategic plan for a project,1.0.11 Fundraising,"1.0.12 Tools to manage your brigade, for example: Discourse, Google Groups, Meetup, GitHub Issues, and Slack",1.0.13 Developing a brand and media strategy,1.0.14 Onboarding to the national network,1.0.15 Guide for how to make open-source projects replicable by other brigades,1.0.16 Running a remote brigade,"1.0.17 How to set and achieve DEI (diversity, equity, and inclusion) goals"
9/15/20 10:16,Open San Diego,3,3,4,4,4,5,4,3,4,4,3,4,3,4,3,4,3,3
9/18/20 11:03,Code for Fort Collins,2,4,5,5,4,3,5,4,5,3,3,5,4,4,3,3,5,4
10/1/20 18:10,Code for Boston,1,1,2,2,2,2,2,2,1,3,1,1,1,3,3,3,1,3
10/7/20 11:09,Code for Boston,1,6,5,1,,3,3,,6,,5,,3,,,3,3,3
10/20/20 8:50,Code for Asheville,3,4,5,5,,3,4,5,5,5,5,6,4,4,3,4,4,5
10/22/20 15:49,Code for Charlottesville,4,4,3,3,3,2,3,3,5,3,2,3,2,5,4,5,3,5
11/10/20 12:51,Code for Baltimore,1,6,1,1,3,1,2,3,3,6,1,6,1,3,4,1,5,3
10/26/20 11:55,Code for Greensboro,3,1,6,3,4,5,3,1,5,3,3,4,1,5,5,4,3,6
12/18/20 10:55,BetaNYC,5,3,1,1,1,3,3,1,3,6,6,5,3,3,5,5,3,3
11/25/20 8:40,Code for Denver,3,3,6,2,3,1,3,4,5,6,3,4,5,4,5,2,5,5
12/2/20 17:34,Code for BTV,3,2,4,3,4,3,4,,3,3,3,,2,,,3,3,
11/3/20 9:27,KC Digital Drive,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/3/20 10:21,Code for Utah,3,4,3,3,4,1,1,,3,3,1,4,1,4,,2,3,3
11/3/20 16:35,Code for Boulder,1,3,5,3,5,6,3,,3,4,4,,3,3,3,5,3,5
11/5/20 10:20,Code for Montana,3,4,6,4,3,2,3,4,5,4,3,3,2,4,2,4,4,5
11/5/20 13:45,Code for Sacramento,3,3,3,3,4,1,5,2,4,5,6,4,1,4,3,2,3,4
11/5/20 20:41,Open Austin,1,2,4,3,2,3,2,4,6,1,5,4,1,3,3,3,1,6
11/6/20 13:42,Code for Chicago,1,3,6,1,3,3,4,3,1,4,3,5,2,4,5,3,1,5
11/6/20 17:41,Code for PDX,1,1,3,4,,5,1,4,3,5,5,5,3,3,4,3,1,2
4/9/21 10:23,Code for BTV,1,3,3,1,2,5,4,4,6,6,3,2,5,5,1,4,2,3
10/31/20 10:03,Code for Orlando,3,4,5,6,4,5,3,1,5,,5,6,4,4,5,4,5,3
10/22/20 21:04,Code for San Jose,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,4
12/17/20 8:30,Code for Greenville,1,3,3,3,4,2,3,3,3,6,1,5,1,4,3,3,5,2
11/11/20 19:42,Code for DC,3,4,6,5,6,3,3,4,6,5,5,5,2,5,3,4,3,5
11/11/20 20:25,Code for Dayton,3,3,3,3,3,5,2,3,3,4,3,3,3,3,4,3,1,4
11/13/20 15:49,Code for Chicago,3,5,3,1,4,3,1,4,,3,3,4,1,4,6,,1,3
11/9/20 10:59,Code for Milwaukee,3,,5,3,5,5,5,5,3,5,5,5,2,5,5,4,4,5
3/6/21 10:10,Code for San Jose,3,2,5,5,4,3,3,3,1,2,4,1,1,1,1,4,1,5
11/2/20 13:31,Code for Nashville,3,4,5,3,3,2,3,4,6,6,6,4,3,5,2,5,1,6
11/19/20 9:31,Open Maine,3,3,3,3,5,6,5,6,6,5,4,3,3,3,5,3,5,6
11/19/20 14:59,Code for Dayton,,1,1,3,3,,,,,3,,3,1,1,,,1,
11/21/20 8:34,Open NC Collaborative,,6,1,1,1,1,,1,,1,1,1,1,6,,1,1,1
11/23/20 16:57,Code for Phoenix,6,2,6,6,3,,4,3,6,3,4,,2,3,2,4,3,5
11/24/20 9:32,Code for Durham,,6,3,3,6,3,3,3,3,3,3,,6,6,6,6,6,6
12/9/20 9:15,Code for Philly,2,6,3,2,3,5,6,4,3,5,4,5,2,3,4,1,2,5
11/27/20 13:15,Code for Tucson,1,1,3,3,3,1,3,3,3,1,3,3,1,,,3,3,3
11/27/20 15:10,Code for Puerto Rico,4,4,3,3,6,1,3,4,3,4,1,3,,3,4,1,4,3
12/1/20 17:33,Code for San Francisco,2,2,3,3,2,2,2,2,4,4,3,2,1,3,3,2,5,4
4/21/21 16:54,Code for Upper Valley,3,3,1,1,1,3,1,3,3,4,1,4,3,1,5,3,1,4
12/18/20 15:30,Code for Tulsa,1,3,4,3,4,1,3,1,5,3,3,6,2,3,3,3,,3
12/12/20 12:29,Code for ABQ,4,,3,4,3,3,4,4,5,5,5,3,4,3,3,5,3,3
5/26/21 12:05,Hack for LA Brigade,1,6,1,3,1,1,1,6,6,3,3,6,,6,6,6,1,6
11/11/20 11:04,Open Cleveland,3,,5,3,5,3,3,3,5,3,3,6,2,2,3,,3,6
11/11/20 11:55,Open Data Delaware,3,5,5,6,5,3,6,3,5,5,6,,2,3,,5,5,6
12/18/20 8:48,Open Data Delaware,5,5,3,3,5,5,5,3,5,3,2,5,2,5,5,5,2,5
11/16/20 12:21,Open Columbus (Ohio),2,2,3,1,2,1,3,4,3,4,3,4,1,5,6,3,3,6
12/21/20 13:02,OpenSTL,3,3,4,5,3,3,4,,5,5,3,5,2,5,2,2,3,
12/29/20 13:18,Code for Pittsburgh,,4,1,1,3,5,4,3,1,3,5,4,3,,3,4,1,5
1/13/21 9:30,Code for Gainesville,4,5,3,5,5,3,4,3,5,4,3,3,2,3,5,3,3,5
1/13/21 20:52,Code Island,4,6,6,6,4,,3,6,4,4,3,6,3,3,4,4,2,4
1/14/21 10:44,Code for Nebraska,3,4,5,1,,1,3,3,2,5,3,4,2,5,3,3,3,5
1/14/21 18:35,Code for Jersey City,3,6,2,1,3,2,3,4,1,3,3,3,4,3,3,3,6,1
1/29/21 13:28,Open Savannah,6,6,3,3,6,6,6,3,5,6,6,5,6,6,6,6,3,3
1/30/21 14:36,Code for Hawaii,3,3,3,3,6,3,3,3,5,3,6,3,3,6,6,6,3,6
10/30/20 16:55,Open Oakland,3,3,6,6,3,5,6,6,3,5,4,4,1,3,,3,5,6
2/19/21 14:31,Code for Hawaii,3,4,6,1,3,3,4,4,3,4,4,1,1,3,0,4,1,3
2/26/21 18:19,Code for Anchorage,2,3,3,5,3,1,3,3,4,5,3,6,1,4,2,3,3,2
11/16/20 13:57,Open Oakland,3,3,5,6,4,5,4,4,2,6,6,6,4,3,4,5,1,6
3/25/21 17:30,Code for Worcester,3,0,3,3,6,6,3,1,6,6,6,3,6,6,6,4,3,3
3/30/21 9:37,Code for Fresno,6,4,3,6,6,6,5,2,4,3,6,6,6,6,6,6,4,6
4/1/21 9:25,Code for Iowa,3,0,1,1,4,4,3,3,3,6,4,0,5,3,0,4,5,4
4/2/21 13:30,Code for Kentuckiana,3,2,1,1,3,6,2,1,4,3,3,4,2,1,3,1,2,4
2/3/21 14:49,Open Eugene,5,4,3,3,4,2,3,6,3,3,5,4,2,6,4,3,2,4
4/15/21 12:27,Code for Santa Barbara,5,5,6,6,4,3,2,3,6,5,5,4,6,4,3,3,6,3
4/16/21 13:33,Code for Chico,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
11/16/20 11:55,Open Twin Cities,3,4,6,6,4,3,4,4,5,5,5,1,1,3,4,4,3,6
4/23/21 10:34,Code for Akron,1,4,6,6,3,1,4,2,6,3,3,6,1,5,4,1,3,4
4/26/21 18:47,Code for Sonoma County,3,3,5,5,5,4,3,2,6,4,5,3,1,2,0,3,1,2
4/30/21 8:21,Code for Little Rock,3,4,1,3,1,4,4,4,2,4,4,4,1,1,3,3,1,1
5/5/21 15:31,Code for Connecticut,5,4,6,6,4,5,4,4,6,6,6,6,6,5,4,6,6,4
12/17/20 12:47,Open Seattle,3,1,6,4,4,3,3,1,5,4,4,3,4,3,6,3,5,5
5/29/21 16:30,Code for Atlanta,2,2,5,1,3,4,3,3,1,3,5,0,3,5,3,3,1,3
7/9/21 10:03,Code for South Florida,1,3,1,3,1,1,2,0,2,3,1,3,2,5,3,0,1,2
