Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Afghanistan,AFG,0.0348442494869232,..,..,..,..,0.0634277984499931,..,..,..,..,0.0649000033736229,..,..,..,..,..,..,..,..,..,..,0.0769999995827675,..,..,..,..,0.183100000023842,0.179000005125999,..,0.129199996590614,0.1092000008,..,..,0.1428000033,..,..,..,0.11,..,..,..,0.186,..,..,..,0.2,0.136,0.146,0.145,0.175,0.194,0.234,0.225,0.266,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Albania,ALB,0.276291221380234,..,..,..,..,0.48128342628479,..,..,..,..,0.739499986171722,0.910899996757507,0.845499992370605,..,..,..,..,1.03649997711182,..,..,1.36679995059967,..,..,1.41480004787445,1.40659999847412,1.40629994869232,..,..,..,1.40330004692078,1.3740999699,1.4702999592,1.6500999928,1.4254000187,1.3153990507,1.306,1.354,1.295,1.289,1.282,1.389,..,1.305,..,..,..,1.15,1.146,..,1.144,1.132,1.113,1.145,1.145,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Algeria,DZA,0.173148155212402,..,..,..,..,0.116413652896881,..,..,..,..,0.123499996960163,..,..,..,..,..,..,..,..,0.380100011825562,..,..,..,..,0.427100002765656,..,..,..,0.428799986839294,..,0.9416000247,..,..,0.82099998,..,0.846,..,..,1,..,..,..,1.131,..,..,1.033,..,1.207,..,..,1.207,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.772300004959106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.781,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.231,..,2.435,2.47,2.594,2.549,2.594,..,3.697,..,..,3.64,3.716,..,3.912,4,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Angola,AGO,0.0670681074261665,..,..,..,..,0.0760617777705193,..,..,..,..,0.116300001740456,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0593999996781349,..,..,..,..,..,0.0421000011,..,..,..,..,..,..,0.077,..,..,..,..,..,..,0.083,..,..,..,..,0.166,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Antigua and Barbuda,ATG,0.293577969074249,..,..,..,..,..,..,..,..,..,0.349299997091293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7599999905,0.9185000062,..,3.030299902,..,0.76,1.141,..,..,0.169,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.718194266236525,..,..,..,..,..,..,..,..,..,1.11248700328399,..,..,..,..,..,..,..,..,..,..,1.54319643282188,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Argentina,ARG,1.35069847106934,..,..,..,..,1.66665172576904,..,..,..,..,1.89219999313354,..,..,..,..,1.86930000782013,..,..,..,..,..,..,..,..,2.68330001831055,2.70499992370605,2.98440003395081,..,3.03200006484985,..,2.6800000668,..,2.657,..,..,2.68,..,..,3.009,..,..,3.226,..,..,3.155,3.21,..,..,..,..,3.21,..,..,3.859,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.21050000190735,3.27789998054504,3.40580010414124,3.45350003242493,3.50090003013611,3.57719993591309,3.67389988899231,3.73550009727478,3.76270008087158,3.88120007514954,3.9244000912,3.701499939,3.5969998837,3.3454999924,3.1221001148,3.042,3.591,3.156,3.156,3.051,2.987,3.526,..,3.588,..,..,3.7,3.697,..,2.677,2.743,2.661,2.687,2.698,..,..
