caseid;turnout12;turnout12b;vote12;percent16;meet;givefut;info;march;sign;give12mo;compromise;ftobama;ftblack;ftwhite;fthisp;ftgay;ftjeb;fttrump;ftcarson;fthrc;ftrubio;ftcruz;ftsanders;ftfiorina;ftpolice;ftfem;fttrans;ftmuslim;ftsci;reg;demcand;repcand;vote16jb;vote16bc;vote16tc;vote16mr;vote16dt;presjob;lazyb;lazyw;lazyh;lazym;violentb;violentw;violenth;violentm;econnow;econ12mo;pid1d;pid2d;pid1r;pid2r;pidstr;pidlean;lcself;lcd;lcr;lchc;lcbo;lcdt;lcmr;lctc;srv_spend;campfin;immig_legal;immig_numb;equalpay;parleave;crimespend;death;terror_worry;terror_12mo;terror_local;relig_bc;relig_bcstr;relig_srv;relig_srvstr;incgap20;isis_troops;syrians_a;syrians_b;pc_a;pc_b;minwage;healthspend;childcare;getahead;ladder;finwell;warm;warmbad;warmcause;warmdo;freetrade;stopwhite;stopblack;forcewhite;forceblack;stop_12mo;arrested_12mo;charged_12mo;jailed_12mo;convict_12mo;famstop_12mo;stop_ever;arrested_ever;charged_ever;jailed_ever;convict_ever;famstop_ever;pk_deficit;pk_sen;pk_spend;birthright_a;birthright_b;femoff_jobs;femoff_ed;femoff_spend;femoff_issues;lpres_pleased;lpres_immig;lpres_la;vaccine;autism;bo_muslim;bo_confid;amer_ident;race_ident;whitework;whitejob;wguilt1;wguilt2;wguilt3;buycott;boycott;skintone_mob;skintone;skin_discrim;africanam10_1;white10_1;hispanic10_1;asianam10_1;nativeam10_1;other10_1;other10_open;birthyr;gender;race;race_other;educ;marstat;speakspanish;employ;employ_t;faminc;faminc2;state;votereg;pid3;pid7;ideo5;newsint;pew_bornagain;pew_churatd;religpew;religpew_t;ever_vs_12mo_rand
1;1;NA;2;100;1;3;4;1;2;2;1;100;100;100;100;96;36;1;5;76;31;0;84;2;51;62;97;20;100;1;1;6;NA;NA;NA;1;1;1;5;5;5;5;5;5;5;5;2;2;NA;__NA__;1;__NA__;1;NA;4;3;4;5;5;4;4;4;7;1;1;2;1;2;5;7;5;4;5;2;1;2;1;1;7;NA;2;NA;3;1;1;1;4;6;6;1;2;1;1;4;2;4;2;4;NA;NA;NA;NA;NA;NA;1;2;2;2;2;2;1;6;1;NA;2;NA;4;4;NA;5;NA;5;1;6;2;1;4;4;5;5;5;5;5;2;2;99;2;5;0;10;0;0;0;0;NA;1960;1;1;__NA__;5;1;4;1;__NA__;4;99;6;1;1;1;6;1;2;6;NA;__NA__;2
2;2;NA;NA;50;4;5;4;2;2;2;1;39;6;74;6;75;28;28;6;52;21;10;13;6;65;53;49;22;91;2;1;1;NA;1;NA;1;NA;3;1;3;3;2;2;3;3;1;4;4;NA;__NA__;3;__NA__;NA;3;4;4;4;5;5;6;4;4;6;1;5;3;1;1;2;2;NA;3;3;2;2;2;2;1;6;6;NA;2;NA;1;2;2;2;3;5;2;2;3;4;4;4;4;4;4;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;4;2;2;NA;NA;3;2;NA;5;NA;1;1;5;2;5;3;2;1;1;5;5;5;2;2;1;99;5;0;10;0;0;0;0;NA;1957;2;1;__NA__;6;3;4;1;__NA__;8;99;13;2;3;4;2;3;2;4;2;__NA__;1
3;1;NA;1;100;1;1;1;1;1;1;2;1;50;50;50;16;27;100;90;1;95;95;2;95;85;2;1;5;61;1;5;NA;NA;NA;2;2;NA;7;3;3;5;5;3;4;4;1;5;5;NA;__NA__;2;__NA__;2;NA;6;1;4;1;1;4;5;7;2;6;2;6;4;6;5;5;1;NA;1;1;1;1;1;1;2;NA;7;NA;4;4;6;6;1;7;7;2;3;2;7;4;3;3;2;2;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;3;1;NA;NA;NA;1;2;1;NA;5;3;2;1;1;1;1;1;1;5;5;5;1;1;99;2;2;0;10;0;0;0;0;NA;1963;1;1;__NA__;5;5;4;4;__NA__;1;99;24;1;2;6;4;1;2;6;1;__NA__;1
4;1;NA;2;100;5;4;5;2;2;2;1;89;61;64;61;62;3;0;0;69;2;0;71;3;56;60;73;61;96;1;1;11;NA;NA;1;1;NA;2;4;4;5;5;4;4;4;4;2;3;1;__NA__;NA;__NA__;1;NA;2;3;7;4;4;6;7;7;6;1;1;2;2;1;4;7;5;NA;5;2;1;2;2;1;4;NA;2;NA;2;1;1;1;2;5;6;1;2;1;1;5;2;4;3;4;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;1;7;NA;3;NA;NA;4;2;NA;5;1;6;2;1;4;4;3;5;4;4;4;1;1;2;99;5;0;10;0;0;0;0;NA;1980;1;1;__NA__;5;1;4;1;__NA__;12;99;35;1;1;1;2;1;2;6;NA;__NA__;1
5;1;NA;1;100;2;1;3;1;2;1;2;1;61;58;71;55;22;13;88;1;70;99;13;73;89;31;62;22;40;1;5;4;3;NA;NA;2;NA;7;3;3;3;3;2;3;3;1;4;4;NA;__NA__;4;Conservative;NA;1;6;1;3;1;1;1;5;7;1;7;1;1;1;7;4;1;NA;1;4;1;1;1;1;2;7;NA;7;NA;4;4;7;7;3;1;1;2;3;2;7;4;3;3;3;3;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;6;1;NA;5;4;4;NA;NA;2;NA;5;1;6;2;2;1;5;5;5;5;5;5;2;1;2;99;5;0;0;0;0;0;10;I don't fucking care;1974;1;1;__NA__;2;1;4;1;__NA__;10;99;27;1;4;5;4;1;2;2;3;__NA__;2
6;1;NA;3;100;3;3;2;2;1;1;2;0;50;51;51;46;7;61;71;1;21;61;11;66;55;0;41;11;71;1;2;7;3;NA;2;NA;NA;7;4;5;5;5;4;5;5;1;4;5;NA;__NA__;3;__NA__;NA;3;6;1;2;1;1;5;2;6;1;4;2;2;7;5;7;4;2;2;5;1;1;1;1;1;7;NA;7;NA;4;4;7;6;1;7;7;2;1;2;7;1;3;3;5;5;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;1;6;2;3;NA;3;4;NA;NA;4;NA;4;7;3;1;4;4;5;2;2;5;5;5;1;2;99;2;4;0;5;0;0;0;5;German;1958;1;1;__NA__;6;1;4;1;__NA__;7;99;18;1;3;4;4;1;2;2;1;__NA__;2
7;1;NA;3;100;1;1;1;2;2;1;1;73;100;70;100;100;11;5;0;60;0;0;100;0;34;100;100;100;100;1;3;7;3;3;NA;NA;NA;2;5;4;5;5;5;3;5;5;2;2;NA;__NA__;1;__NA__;1;NA;1;3;7;5;3;5;7;7;7;1;1;1;1;1;2;7;4;NA;5;2;1;2;1;1;5;1;NA;NA;1;1;1;1;2;7;6;1;2;1;1;6;2;5;2;5;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;1;7;NA;3;NA;3;NA;4;NA;5;2;6;2;1;5;5;1;5;3;1;1;1;1;99;2;5;0;7;0;0;3;0;NA;1978;1;1;__NA__;3;5;4;6;__NA__;97;99;23;1;1;1;1;1;2;2;1;__NA__;1
8;1;NA;1;100;5;4;5;2;1;2;1;0;70;70;69;49;49;85;74;0;67;66;40;60;85;45;49;40;76;1;2;NA;NA;NA;2;NA;2;7;3;3;3;3;5;5;4;4;3;3;2;__NA__;NA;__NA__;1;NA;7;2;5;1;1;5;5;5;3;4;2;4;1;7;4;1;3;NA;3;1;1;2;3;1;3;NA;7;NA;4;2;4;5;3;4;5;1;3;2;6;6;2;3;3;3;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;6;1;1;NA;NA;3;NA;3;3;NA;5;1;6;2;5;2;3;2;4;4;5;4;2;2;99;3;4;0;10;0;0;0;0;NA;1951;1;1;__NA__;2;1;4;1;__NA__;10;99;53;1;2;7;5;1;2;6;1;__NA__;1
NA;1;NA;1;100;3;3;4;2;2;1;2;12;50;50;50;5;41;70;87;3;56;97;31;65;80;21;5;12;50;1;5;4;3;NA;2;NA;NA;7;5;5;5;5;2;4;3;2;4;4;3;__NA__;NA;__NA__;NA;3;6;1;3;1;1;3;5;6;1;1;2;3;4;5;4;1;3;3;4;1;1;1;1;2;2;7;NA;4;NA;4;7;7;3;6;6;2;3;2;7;4;3;3;3;3;NA;NA;NA;NA;NA;NA;1;2;2;2;2;1;1;6;1;1;NA;3;NA;4;NA;5;3;NA;4;4;2;4;2;3;3;4;5;5;5;1;1;99;3;5;0;7;0;0;3;0;NA;1973;1;1;__NA__;4;1;4;1;__NA__;8;99;18;1;3;4;4;1;1;2;1;__NA__;2
10;1;NA;2;100;1;1;1;1;1;1;1;87;75;90;51;85;60;5;39;87;41;3;97;41;60;61;61;72;91;1;3;6;NA;NA;NA;1;1;2;3;3;5;5;3;3;3;3;2;2;1;__NA__;NA;__NA__;1;NA;2;3;6;3;3;5;5;7;6;1;1;3;1;1;3;5;4;NA;4;2;1;2;3;1;7;2;NA;NA;1;1;2;2;2;5;5;1;2;3;1;6;2;2;2;2;NA;NA;NA;NA;NA;NA;1;1;1;2;2;1;1;6;1;7;NA;3;NA;3;NA;4;4;NA;1;6;2;1;2;2;3;4;5;5;5;1;1;99;2;4;2;2;2;2;2;0;NA;1936;1;1;__NA__;6;1;4;5;__NA__;10;99;12;1;1;1;2;1;1;1;1;__NA__;2
