NAC Region,Brigade,NAC size,msa_population_2019,msa_net_growth_20182019,msa_net_growth_pct_20182019,msa_name_matched
1: Northeast,Beta NYC,L,"19,216,182","-60,462",-0.3,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
1: Northeast,Code for Jersey City,L,"19,216,182","-60,462",-0.3,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
1: Northeast,Code for Newark,L,"19,216,182","-60,462",-0.3,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
1: Northeast,Code for D.C.,L,"6,280,487","32,646",0.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
1: Northeast,Code for Philly,L,"6,102,434","11,226",0.2,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
1: Northeast,Code for Boston,L,"4,873,019","13,483",0.3,"Boston-Cambridge-Newton, MA-NH Metro Area"
1: Northeast,Code for Long Island,S,#N/A,#N/A,#N/A,#N/A
1: Northeast,Code for Baltimore,S,"2,800,053",-690,0,"Baltimore-Columbia-Towson, MD Metro Area"
1: Northeast,Code for Pittsburgh,S,"2,317,600","-5,053",-0.2,"Pittsburgh, PA Metro Area"
1: Northeast,Code for Connecticut,S,"1,204,877","-1,262",-0.1,"Hartford-East Hartford-Middletown, CT Metro Area"
1: Northeast,Code for Buffalo,S,"1,127,983","-1,794",-0.2,"Buffalo-Cheektowaga, NY Metro Area"
1: Northeast,Code for Worcester,S,"947,404","1,291",0.1,"Worcester, MA-CT Metro Area"
1: Northeast,Open Columbia County,S,#N/A,#N/A,#N/A,#N/A
1: Northeast,Open Data Delaware,S,"6,102,434","11,226",0.2,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
1: Northeast,Open Maine,S,"538,500","3,268",0.6,"Portland-South Portland, ME Metro Area"
1: Northeast,Code for New Hampshire,S,"417,025","2,395",0.6,"Manchester-Nashua, NH Metro Area"
1: Northeast,Code for Atlantic City,S,"263,670",-319,-0.1,"Atlantic City-Hammonton, NJ Metro Area"
1: Northeast,Code for BTV,S,"220,411",472,0.2,"Burlington-South Burlington, VT Metro Area"
1: Northeast,Code for Upper Valley,S,,,,
2: Southeast,Code for South Florida,L,"6,166,488","22,651",0.4,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
2: Southeast,Code for Atlanta,L,"6,020,364","75,061",1.3,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area"
2: Southeast,Code for Tampa Bay,L,"3,194,831","40,182",1.3,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
2: Southeast,Open Charlotte,L,"2,636,883","43,933",1.7,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
2: Southeast,Code for Orlando,L,"2,608,147","33,309",1.3,"Orlando-Kissimmee-Sanford, FL Metro Area"
2: Southeast,Code for Puerto Rico,S,"2,023,227","1,088",0.1,"San Juan-Bayamón-Caguas, PR Metro Area"
2: Southeast,Code for Nashville,S,"1,934,317","29,591",1.6,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
2: Southeast,Code for Hampton Roads,S,"1,768,901","5,188",0.3,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
2: Southeast,Open Raleigh Brigade,S,"1,390,785","29,195",2.1,"Raleigh-Cary, NC Metro Area"
2: Southeast,Code for New Orleans,S,"1,270,530",397,0,"New Orleans-Metairie, LA Metro Area"
2: Southeast,Code for Greenville,S,"920,477","13,449",1.5,"Greenville-Anderson, SC Metro Area"
2: Southeast,Code for Greensboro,S,"771,851","5,378",0.7,"Greensboro-High Point, NC Metro Area"
2: Southeast,Code for Little Rock,S,#N/A,#N/A,#N/A,#N/A
2: Southeast,Code for Chapel Hill,S,"644,367","6,866",1.1,"Durham-Chapel Hill, NC Metro Area"
2: Southeast,Code for Durham,S,"644,367","6,866",1.1,"Durham-Chapel Hill, NC Metro Area"
2: Southeast,Code for Asheville,S,"462,680","3,366",0.7,"Asheville, NC Metro Area"
2: Southeast,Code for Tallahassee,S,"387,227","2,909",0.8,"Tallahassee, FL Metro Area"
