10000111215135405132S  1112221121 321230221 1132 122112.45                              
10000611212132482624S  121292121  232158821 4212 22531 .67                              
10001111212132702132S  3 1151211  232169621 5211 22631 .37                              
10002011212138034531R  9 99999929 232278122 1191 11612 .95                              
1000231121213203 914U  9 11511922 132282321 1112 11611 .85                              
10002811212134071234S  121359211  23126572199411 22631 .39                              
10002911212133211233S  2 9992111  122163621 2132 22531 .32                              
10003011212137244212S  133251211  131238621 3111 22331 .61                              
10003111214139103731R  2 9299991  23227992199912 22691 .61                              
10003311212139733414S  121292121  11226262199412 22531 .42                              
10003511212139892622R  133151111  232153421 6333222421 .79                              
10003711215132692622R  1223522222 132258511 1112 115231.17                              
10004011215137174213S  123292121  232164321 4212 22511 .93                              
10004111212135704213S  2 3222211  232155621 5213922531 .61                              
10004211213133171823S  1133121222 132159321 1131 11511 .76                              
10004911212139083414S  3 2151211  122178721 5213122631 .39                              
10005411212137812514S  131232121  212232721 6322 222311.11                              
10006511212132123615U  123251121  112157621 6312 22531 .56                              
10006711212138644533S  1313921921 33227832299912 126121.16                              
10007211212139103732R  131151121  232264221 2111 22511 .76                              
10007711212137183615U  121222111  332268522 7412 22622 .92                              
10008411212138131234U  111392121  232166321 3133922611 .79                              
1000861121213203 914S  121252121  232260321 6312 225111.25                              
10009111212135021921S  121251121  232184321 5212 22611 .65                              
1001001121213251 132U  3 2351221  232268821 9411 22631 .32                              
10010411215136012831R  3 2111111  522118221 7431 22111 .74                              
10011311212134023124U  3 3322211  332273221 3111 22611 .95                              
10011611212135804031R  3 2351211  332278621 6311 22631 .40                              
10012211212134124214S  9 2141211  13227032199913122611 .55                              
10012311212136104213S  131251211  422246621 6333122431 .68                              
1001241121213205 131R  2 2212221  23225372299112 22432 .39                              
10012811212136824835U  112331211  332119311 63131221131.82                              
10013511212137035135S  2 2351211  432119421 84239221211.48                              
10013611212135082513S  3 2221211  232159621 9413122531 .61                              
10014211212132252234S  121222911  211243822 6312 22332 .93                              
10014711214135163615S  3 2351211  212250721 7411 22431 .78                              
10015111212133091722S  119351991  232165321 1111 22611 .56                              
10015511212136622831R  113351291  232268621 3111 22631 .32                              
10016111212135151923U  3 3151121  112153521 8413222421 .54                              
10017311212136154732S  131251211  212245821 7411 22431 .42                              
10017411212135163615S  121321911  211150523 63191224241.42                              
10017611214136104213U  3 2121121  132175521 4233122621 .35                              
10018411212132104834U  131232121  311245421 7412 224211.49                              
10019311212132625523U  121212211  132263322 4212 22512 .43                              
10020011212139034831S  121252921  132288321 3111 22611 .39                              
10020211212136301723S  121251121  132257622 6313222532 .32                              
10020411212139184031R  121251121  232286324 2112 22614 .58                              
10021711212132523732U  112221211  232269321 3111 22611 .53                              
10022311212135082513S  131232191  112255821 7412 22531 .32                              
10023011212132692623U  3 2212121  332130421 5233222221 .89                              
10023511212134023121R  1113521222 132262421 1112 11521 .77                              
10023811212137244212S  131251121  232299421 4213222921 .56                              
10024111212133171823S  3 2352211  232272621 6313122631 .32                              
10026311214137174213S  1311922221 232269622 4212 12632 .47                              
10027711214137183615U  1332212922 232271812 7412 116331.76                              
10028211212132144835U  131251121  232266322 6312 22612 .68                              
10028711212137742513S  3 2251211  211140621 9411 22331 .77                              
10028811212138162924S  122351211  232260421 6313122521 .98                              
10029411212137701334S  9 9359991  232282421 2111 22621 .68                              
10030011212137701333S  121151121  33216382199913222531 .66                              
10030311212134094832S  131152121  13229042199911 22621 .32                              
10030711212137081725S  3 2252221  332218223 9412 221141.29                              
10030911212139103732S  1322929922 13225822299933911512 .58                              
10031111212137651822S  111351921  322254321 5231 224111.23                              
10031511212137155521R  131232191  112299529 6314222929 .35                              
10031711214139373922S  3 2151211  23219999999919922999 .56                              
10032311212136313614S  3 2321211  132273321 3111 22611 .55                              
10032411212133012432U  1121511221 232171321 4212 12611 .93                              
10033111212132182721R  121252291  13226632199913922611 .39                              
10034011212133254831R  2 3151211  132179421 3111 22621 .32                              
10035111212132814833S  131351121  212164314 3112 225131.39                              
10035211212135163615S  3 2351211  212156521993131225211.06                              
10036311212133254831R  3 2929111  132295421 2111 22621 .34                              
10036511212136054622U  111351211  211250821 3112 22431 .42                              
10036911212133191922U  3 2151211  211228329 11231222191.07                              
10037411215137314731R  1212521122 132267221 3113911611 .58                              
10037511212135072722U  3 3351121  41229992199919922991 .67                              
10037911212135053543U  121151211  311131624 7434222234 .48                              
1003961121213303 845U  123351121  222245516 1112 224232.44HISPANIC                      
1004011121213251 132U  2 2151211  132277421 3111 22621 .32                              
10040211212132814833S  121251121  131162322 8412 22512 .40                              
10040511212134172921R  131251111  412258321 42131225111.11                              
10040811212139154833U  122151121  311241611 4232 223331.98                              
10041011212134102434S  133141211  211249322 5212 224121.10                              
10041211212139154833U  111252121  211143211 2121 223132.13                              
10043711212138501232S  3 3121111  23227822199311 22611 .53                              
10044211215136622831R  111151991  211146321 74339224111.22                              
1004511121413970 841R  121159991  132279321 1132 22611 .40                              
1004541121513520 442U  1312321222 132160621 3133211531 .47                              
1004551121513602 443U  1132522921 332267221 3122 126111.49                              
10046011212137342623U  122252221  112247721 6312 22431 .32                              
10047211212138014942U  143351221  132272421 3113122621 .32                              
10048011212133202721R  3 2151211  232179321 4211 22611 .65                              
10048211215136622832R  113251211  412152521 6311 22421 .99                              
10049611212139782513S  112351211  211142611 42139223331.35                              
10049911212132814835U  123229211  132281721 4213222631 .32                              
10050411212134172923U  112351111  222182321 4211 22611 .62                              
10050511212133363733U  3 2351211  212143629 5211 22339 .66                              
10050611214137174213S  111291121  212250821 6312 22431 .54                              
10053411212137035134S  131232121  211143621 7412 22331 .85                              
10054211212137651821R  111151291  212299821 6313922931 .32                              
10054311212133363733S  3 2359121  211138721 7412 22331 .66                              
10054811212139083412S  3 2151211  212262321 5213122511 .89                              
10055311212139411232S  3 2259211  132172321 3111 22611 .35                              
10055811212133051231R  2 2351211  21216282999411 22539 .54                              
10056311212134102433S  3 2151211  232161321 8411 22511 .79                              
10056711212136093413S  121321121  132167121 2114122611 .45                              
