fips;year;GDP;GDPpc;Private;Agriculture;Farms;Mining;Utilities;Construction;Manufacturing;Finance_Insurance;Legal;Education;Health;Government;Government_federal;Government_military;Government_statelocal;cpideflator;statecpi;Private_share;Agriculture_share;Farms_share;Mining_share;Utilities_share;Construction_share;Manufacturing_share;Finance_Insurance_share;Legal_share;Education_share;Health_share;Government_share;Government_federal_share;Government_military_share;Government_statelocal_share
1;1964;8201;4273.58;6900;312;283;115;235;379;2315;936;33;21;156;1301;516;197;589;.172;.1709;84.13608;3.804414;3.450799;1.402268;2.865504;4.621387;28.22827;11.41324;.4023899;.2560663;1.902207;15.86392;6.291915;2.402146;7.182051
1;1968;10949;5493.728;9095;294;253;133;294;499;3147;1169;47;40;244;1854;651;288;915;.193;.191;83.06695;2.685177;2.310713;1.214723;2.685177;4.557494;28.74235;10.67677;.4292629;.3653302;2.228514;16.93305;5.945748;2.630377;8.356928
1;1972;15336;4332.105;12696;481;418;223;435;702;3996;1761;72;68;398;2640;873;411;1356;.232;.2294;82.7856;3.136411;2.725613;1.454095;2.836463;4.577465;26.05634;11.48279;.4694836;.4434012;2.595201;17.2144;5.692488;2.679969;8.841941
1;1976;24206;6477.035;19988;781;683;584;714;1281;6016;2785;116;87;723;4218;1401;546;2272;.316;.307;82.57457;3.226473;2.821615;2.412625;2.949682;5.292076;24.85334;11.50541;.47922;.359415;2.986863;17.42543;5.787821;2.255639;9.386103
1;1980;36006;9246.474;29567;674;542;1351;1228;1588;8859;4189;234;127;1318;6439;2082;782;3575;.458;.4334;82.11687;1.87191;1.505305;3.752152;3.410543;4.410376;24.60423;11.63417;.6498917;.352719;3.660501;17.88313;5.78237;2.17186;9.928901
1;1984;49713;12579.95;41094;1101;894;1527;2177;1728;11896;5760;394;182;2014;8619;2730;1292;4598;.578;.5368;82.66248;2.214712;1.798322;3.071631;4.379136;3.475952;23.92935;11.58651;.7925493;.3661014;4.051254;17.33752;5.491521;2.598918;9.24909
1;1988;65435;16261.58;54314;1349;1078;1024;2583;2663;16557;7157;671;234;2991;11122;3468;1479;6175;.658;.6123;83.00451;2.061588;1.647436;1.564912;3.947429;4.069687;25.30297;10.93757;1.025445;.3576068;4.570948;16.99702;5.299916;2.260258;9.436846
1;1992;80450;19366.81;66158;1629;1243;1075;2962;3060;18186;9332;956;291;4700;14292;4294;1659;8340;.78;.7252;82.23493;2.02486;1.545059;1.336234;3.68179;3.803605;22.60534;11.59975;1.188316;.3617153;5.842138;17.76507;5.337477;2.06215;10.36669
1;1996;97941;22613.41;82278;1848;1368;1585;3280;4268;21637;11580;1242;358;5902;15663;4126;1589;9948;.872;.8136;84.00772;1.88685;1.396759;1.618321;3.348955;4.357726;22.09187;11.82344;1.26811;.3655262;6.026077;15.99228;4.21274;1.622405;10.15714
1;2000;114576;25764.21;96817;2027;1294;1499;3093;5653;21056;5359;1463;502;7481;17759;4256;1498;12005;.957;.9085;84.50024;1.769131;1.129381;1.308302;2.699518;4.933843;18.37732;4.677245;1.276882;.4381371;6.529291;15.49976;3.714565;1.307429;10.47776
