State,year,demvote,repvote,wallacevote,dempercent,reppercent,population
"Alabama",1964,210732,479085,0,30.54897,69.45103,1919000
"Alabama",1968,196579,146923,691425,18.99448,81.00552,1993000
"Alabama",1972,256923,728701,0,26.06704,73.93296,3540080
"Alabama",1976,659170,504070,0,56.66673,43.33327,3737204
"Alabama",1980,636730,654192,0,49.32366,50.67634,3894025
"Alabama",1984,551899,872849,0,38.7366,61.2634,3951766
"Alabama",1988,549506,815576,0,40.25443,59.74557,4023902
"Alabama",1992,690080,804283,0,46.17887,53.82113,4154014
"Alabama",1996,662165,769044,0,46.26613,53.73387,4331102
"Alabama",2000,695602,944409,0,42.41447,57.58553,4447100
"Alabama",2004,693933,1176394,0,37.10223,62.89777,4530182
"Alaska",1964,44329,22930,0,65.90791,34.09209,153000
"Alaska",1968,35411,37600,10024,42.64587,57.35413,166000
"Alaska",1972,32967,55349,0,37.32846,62.67154,326494
"Alaska",1976,44058,71555,0,38.10817,61.89183,393115
"Alaska",1980,41842,86112,0,32.70081,67.29919,401851
"Alaska",1984,62007,138377,0,30.94409,69.05592,513697
"Alaska",1988,72584,119251,0,37.83668,62.16332,541999
"Alaska",1992,78294,102000,0,43.42574,56.57426,588736
"Alaska",1996,80380,122746,0,39.5715,60.4285,608569
"Alaska",2000,79004,167398,0,32.06305,67.93695,626932
"Alaska",2004,111025,190889,0,36.77372,63.22628,655435
"Arizona",1964,237753,242535,0,49.50217,50.49783,878000
"Arizona",1968,170514,266721,46573,35.24415,64.75585,975000
"Arizona",1972,198540,402812,0,33.01561,66.9844,2008847
"Arizona",1976,295602,418642,0,41.3867,58.6133,2347976
"Arizona",1980,246843,529688,0,31.78791,68.21209,2716546
"Arizona",1984,333854,681416,0,32.88327,67.11673,3067125
"Arizona",1988,454029,702541,0,39.25651,60.74349,3535200
"Arizona",1992,543050,572086,0,48.6981,51.3019,3915740
"Arizona",1996,653288,622073,0,51.22377,48.77623,4586940
"Arizona",2000,685341,781652,0,46.7174,53.2826,5130632
"Arizona",2004,893524,1104294,0,44.72499,55.27501,5743834
"Arkansas",1964,314197,243264,0,56.36215,43.63785,1108000
"Arkansas",1968,184901,189062,235627,30.33203,69.66798,1143000
"Arkansas",1972,198899,445751,0,30.8538,69.1462,2018116
"Arkansas",1976,499614,268753,0,65.02283,34.97717,2168688
"Arkansas",1980,398041,403164,0,49.68029,50.31971,2286357
"Arkansas",1984,338646,534774,0,38.77241,61.22759,2319782
"Arkansas",1988,349237,466578,0,42.80836,57.19164,2342643
"Arkansas",1992,505823,337324,0,59.99227,40.00773,2415984
"Arkansas",1996,475171,325416,0,59.35283,40.64717,2572109
"Arkansas",2000,422768,472940,0,47.19931,52.80069,2673400
"Arkansas",2004,469953,572898,0,45.06425,54.93575,2752629
"California",1964,4171877,2879108,0,59.16729,40.83271,10789000
"California",1968,3244318,3467664,487270,45.06466,54.93534,11771000
"California",1972,3475847,4602096,0,43.02886,56.97114,20584794
"California",1976,3742284,3882244,0,49.08217,50.91783,21934505
"California",1980,3083661,4524858,0,40.52906,59.47094,23667765
"California",1984,3922519,5467009,0,41.77547,58.22453,25844380
"California",1988,4702233,5054917,0,48.19269,51.80731,28464230
"California",1992,5121325,3630574,0,58.51673,41.48327,30974659
"California",1996,5119835,3828380,0,57.21627,42.78373,32018834
"California",2000,5861203,4567429,0,56.20299,43.79701,33871648
"California",2004,6745485,5509826,0,55.04132,44.95868,35893799
"Colorado",1964,476024,296767,0,61.59803,38.40197,1142000
"Colorado",1968,335174,409345,60813,41.61936,58.38064,1251000
"Colorado",1972,329980,597189,0,35.59006,64.40994,2404576
"Colorado",1976,460353,584367,0,44.06472,55.93528,2632244
"Colorado",1980,367973,652264,0,36.06741,63.93259,2889735
"Colorado",1984,454974,821818,0,35.63415,64.36584,3170024
"Colorado",1988,621453,728177,0,46.04618,53.95382,3262279
"Colorado",1992,629681,562850,0,52.80207,47.19793,3495939
"Colorado",1996,671152,691848,0,49.24079,50.75921,3919972
"Colorado",2000,738227,883745,0,45.51416,54.48584,4301261
"Colorado",2004,1001732,1101255,0,47.63377,52.36623,4601403
"Connecticut",1964,826269,390996,0,67.87914,32.12086,1724000
"Connecticut",1968,621561,556721,76650,49.52946,50.47054,1826000
"Connecticut",1972,555498,810763,0,40.65826,59.34174,3069617
"Connecticut",1976,647895,719261,0,47.38998,52.61002,3085984
"Connecticut",1980,541732,677210,0,44.4428,55.5572,3107564
"Connecticut",1984,569597,890877,0,39.00083,60.99917,3180017
"Connecticut",1988,676584,750241,0,47.41885,52.58115,3271957
"Connecticut",1992,682318,578313,0,54.12512,45.87488,3300712
"Connecticut",1996,735740,483109,0,60.36351,39.63649,3336685
"Connecticut",2000,816015,561094,0,59.25566,40.74434,3405565
"Connecticut",2004,857488,693826,0,55.27495,44.72505,3503604
"D. C.",1964,169796,28801,0,85.49776,14.50223,513000
"D. C.",1968,139566,31012,0,81.81946,18.18054,495000
"D. C.",1972,127627,35226,0,78.36945,21.63055,743775
"D. C.",1976,137818,27873,0,83.17772,16.82228,696305
"D. C.",1980,130231,23313,0,84.81673,15.18327,638432
"D. C.",1984,180408,29009,0,86.14774,13.85227,633385
"D. C.",1988,159407,27590,0,85.24575,14.75425,630427
"D. C.",1992,192619,20698,0,90.29707,9.70293,597565
"D. C.",1996,158220,17339,0,90.12355,9.876451,572377
"D. C.",2000,171923,18073,0,90.48769,9.512305,572059
"D. C.",2004,202970,21256,0,90.52028,9.479721,553523
"Delaware",1964,122704,78078,0,61.11305,38.88695,292000
"Delaware",1968,89194,96714,28459,41.60808,58.39192,314000
"Delaware",1972,92283,140357,0,39.66773,60.33227,573821
"Delaware",1976,122596,109831,0,52.74603,47.25397,592755
"Delaware",1980,105754,111252,0,48.73322,51.26678,594338
"Delaware",1984,101656,152190,0,40.04633,59.95367,611567
"Delaware",1988,108647,139639,0,43.75881,56.24119,647621
"Delaware",1992,126054,102313,0,55.19799,44.80201,694925
"Delaware",1996,140355,99062,0,58.62366,41.37634,740977
"Delaware",2000,180068,137288,0,56.74007,43.25993,783600
"Delaware",2004,200152,171660,0,53.8315,46.1685,830364
"Florida",1964,948540,905941,0,51.14854,48.85146,3623000
"Florida",1968,676794,886804,624207,30.93484,69.06516,4124000
"Florida",1972,718117,1857759,0,27.87856,72.12144,7520324
"Florida",1976,1636000,1469531,0,52.6802,47.3198,8695356
"Florida",1980,1419475,2046951,0,40.94924,59.05076,9746961
"Florida",1984,1448816,2730350,0,34.66759,65.33241,11039982
"Florida",1988,1656701,2618885,0,38.74793,61.25207,12306421
"Florida",1992,2072698,2173310,0,48.81522,51.18478,13650553
"Florida",1996,2546870,2244536,0,53.15496,46.84504,14853360
"Florida",2000,2912253,2912790,0,49.99539,50.00461,15982378
"Florida",2004,3583544,3964522,0,47.47632,52.52368,17397161
"Georgia",1964,522557,616584,0,45.8729,54.1271,2634000
"Georgia",1968,334440,380111,535550,26.75304,73.24696,2851000
"Georgia",1972,289529,881496,0,24.72441,75.27559,4807151
"Georgia",1976,979409,483743,0,66.93829,33.06171,5126155
"Georgia",1980,890733,654168,0,57.65631,42.34369,5462982
"Georgia",1984,706628,1068722,0,39.80218,60.19782,5835018
"Georgia",1988,714792,1081331,0,39.79638,60.20362,6316185
"Georgia",1992,1008966,995252,0,50.34213,49.65787,6817203
"Georgia",1996,1053849,1080843,0,49.36773,50.63227,7501069
"Georgia",2000,1116230,1419720,0,44.01625,55.98375,8186453
"Georgia",2004,1366149,1914254,0,41.64577,58.35423,8829383
"Hawaii",1964,163249,44022,0,78.76114,21.23886,404000
"Hawaii",1968,141324,91425,3469,59.82779,40.17221,439000
"Hawaii",1972,101409,168865,0,37.52081,62.47919,827612
"Hawaii",1976,147375,140003,0,51.28263,48.71737,902070
"Hawaii",1980,135879,130112,0,51.08406,48.91594,964691
"Hawaii",1984,147154,185050,0,44.29628,55.70372,1027923
"Hawaii",1988,192364,158625,0,54.80627,45.19373,1079830
"Hawaii",1992,179310,136822,0,56.71998,43.28002,1158613
"Hawaii",1996,205012,113943,0,64.27615,35.72385,1203755
"Hawaii",2000,205286,137845,0,59.8273,40.1727,1211537
"Hawaii",2004,231708,194191,0,54.40445,45.59555,1262840
"Idaho",1964,148920,143557,0,50.91682,49.08318,379000
"Idaho",1968,89273,165369,36541,30.65873,69.34127,397000
"Idaho",1972,80826,199384,0,28.8448,71.1552,763229
"Idaho",1976,126549,204151,0,38.26701,61.73299,856979
"Idaho",1980,110192,290699,0,27.48677,72.51323,944127
"Idaho",1984,108510,297523,0,26.72443,73.27557,990811
"Idaho",1988,147272,253881,0,36.71218,63.28782,985680
"Idaho",1992,137013,202645,0,40.33852,59.66148,1071685
"Idaho",1996,165443,256595,0,39.20097,60.79903,1203083
"Idaho",2000,138637,336937,0,29.15151,70.84849,1293953
"Idaho",2004,181098,409235,0,30.67726,69.32274,1393262
"Illinois",1964,2796833,1905946,0,59.47192,40.52808,6422000
"Illinois",1968,2039814,2174774,390958,44.29038,55.70962,6667000
"Illinois",1972,1913472,2788179,0,40.69787,59.30213,11258111
"Illinois",1976,2271295,2364269,0,48.99717,51.00283,11360274
"Illinois",1980,1981413,2358049,0,45.66034,54.33966,11427409
"Illinois",1984,2086499,2707103,0,43.52674,56.47326,11412194
"Illinois",1988,2215940,2310939,0,48.95072,51.04928,11390222
"Illinois",1992,2453350,1734096,0,58.58822,41.41178,11694184
"Illinois",1996,2341744,1587021,0,59.60509,40.39491,12101997
"Illinois",2000,2589026,2019421,0,56.18001,43.81999,12419293
"Illinois",2004,2891550,2345946,0,55.20863,44.79137,12713634
"Indiana",1964,1170848,911118,0,56.23761,43.76239,2845000
"Indiana",1968,806659,1067885,243108,38.09214,61.90786,3044186
"Indiana",1972,708568,1405154,0,33.52229,66.47771,5296129
"Indiana",1976,1014714,1183958,0,46.15122,53.84878,5371552
"Indiana",1980,844197,1255656,0,40.20267,59.79733,5490214
"Indiana",1984,841481,1377230,0,37.92657,62.07343,5458334
"Indiana",1988,860643,1297763,0,39.87401,60.12599,5491729
"Indiana",1992,848420,989375,0,46.1651,53.8349,5674547
"Indiana",1996,887424,1006693,0,46.85159,53.14841,5906013
"Indiana",2000,901980,1245836,0,41.99522,58.00478,6080485
"Indiana",2004,969011,1479438,0,39.57652,60.42348,6237569
"Iowa",1964,733030,449148,0,62.00674,37.99326,1625000
"Iowa",1968,476699,619106,66422,41.016,58.984,1673000
"Iowa",1972,496206,706207,0,41.26752,58.73248,2860506
"Iowa",1976,619931,632863,0,49.48388,50.51612,2903770
"Iowa",1980,508672,676026,0,42.93685,57.06315,2913808
"Iowa",1984,605620,703088,0,46.27618,53.72382,2858631
"Iowa",1988,670557,545355,0,55.14848,44.85152,2768370
"Iowa",1992,586353,504891,0,53.73253,46.26747,2818401
"Iowa",1996,620258,492644,0,55.73339,44.26661,2880000
"Iowa",2000,638517,634373,0,50.16278,49.83722,2926324
"Iowa",2004,741898,751957,0,49.66332,50.33668,2954451
"Kansas",1964,464028,386579,0,54.55257,45.44743,1318000
"Kansas",1968,302996,478674,88921,34.80349,65.19652,1346000
"Kansas",1972,270287,619812,0,30.36595,69.63405,2255525
"Kansas",1976,430421,502752,0,46.12446,53.87554,2298645
"Kansas",1980,326150,566812,0,36.52451,63.47549,2364236
"Kansas",1984,333149,677296,0,32.97052,67.02948,2424119
"Kansas",1988,422636,554049,0,43.2725,56.7275,2462057
"Kansas",1992,390434,449951,0,46.45895,53.54105,2532394
"Kansas",1996,387659,583245,0,39.92764,60.07236,2614554
"Kansas",2000,399276,622332,0,39.08309,60.91691,2688418
"Kansas",2004,434993,736456,0,37.1329,62.8671,2735502
"Kentucky",1964,669659,372977,0,64.22749,35.7725,1964000
"Kentucky",1968,397541,462411,193098,37.75139,62.24861,2063000
"Kentucky",1972,371159,676446,0,35.42929,64.57071,3336106
"Kentucky",1976,615717,531852,0,53.65403,46.34597,3530443
"Kentucky",1980,616417,635274,0,49.24674,50.75326,3660324
"Kentucky",1984,539589,822782,0,39.60661,60.39339,3695426
"Kentucky",1988,580368,734281,0,44.14623,55.85377,3679990
"Kentucky",1992,665104,617178,0,51.86878,48.13122,3765469
"Kentucky",1996,636614,623283,0,50.52905,49.47095,3919535
"Kentucky",2000,638898,872492,0,42.27221,57.72779,4041769
"Kentucky",2004,712733,1069439,0,39.99238,60.00762,4145922
"Louisiana",1964,387068,509225,0,43.18543,56.81457,1894000
"Louisiana",1968,309615,257535,530300,28.21222,71.78778,2002000
