DATA FOR STATE-LEVEL INCOMES OVER TIME
PLAD 8310 - MERGE EXAMPLE DATA
stcode	year	income	p10income	p20income	p30income	p40income	p50income	p60income	p70income	p80income	p90income	meanincome	minincome	maxincome	sdincome	ineqincome	gini_income	n_income	nwgt_income	men_p10income	men_p20income	men_p30income	men_p40income	men_p50income	men_p60income	men_p70income	men_p80income	men_p90income	men_meanincome	men_minincome	men_maxincome	men_sdincome	men_ineqincome	men_gini_income	men_n_income	men_nwgt_income	wom_p10income	wom_p20income	wom_p30income	wom_p40income	wom_p50income	wom_p60income	wom_p70income	wom_p80income	wom_p90income	wom_meanincome	wom_minincome	wom_maxincome	wom_sdincome	wom_ineqincome	wom_gini_income	wom_n_income	wom_nwgt_income	medincome
"AL"	1964	89.83488	3269.85	5731.07	7988.87	10318.3	13189.1	16007.3	18744.4	22230.3	28344.3	15451.6	58.13953	709877.9	2655.18	8.668379	.415402	467	1139078	2178.63	5267.14	9868.54	15111.7	20049	26053	31463.9	37619	49310.1	24247.5	87.2093	709877.9	3755.25	22.63354	.462627	292	720584.1	820.581	1702.98	3245.45	5612.27	9572.2	13574.7	17358	19207.9	24233	11400	58.13953	72674.42	1796.89	29.53152	.473738	175	418494.1	76.68081
"AL"	1968	92.18238	4469.95	7455.28	10050.3	12792.1	15580.2	18392.4	21310.7	24864.6	31836.9	17791.2			2283.13	7.122428	.375007			2827.7	7443.68	12454.7	17418	23063.7	28854.4	34220.2	40315.4	51400	27076.8			4719.77	18.17732	.448294			959.055	2322.77	3975.34	6372.67	9474.01	12644.2	16416.9	19881.2	26287.5	12005.3			1968.78	27.40979	.48509			80.72643
"AL"	1972	94.87543	6734.11	10314.8	13336.3	16421.5	19088.9	22141.6	25410.7	30077.6	37922.1	22011.1			10283.1	5.631346	.340101			3940.17	9953.29	15318.5	20853.8	26436.6	32370.1	38480.4	46288.5	59564.4	31416.5			14587.8	15.11722	.425494			1697.6	3736.45	6202	9232.17	12629.9	15690.7	18924.7	23216.9	30278	14667.9			8604.25	17.83577	.457932			82.27975
"AL"	1976	67.53671	7759.81	11176.6	13823.2	16431.8	18982.8	21923.5	25180.8	30444.1	37684	21341.6			12348.9	4.856305	.323022			4295.53	10615.2	15874.7	21446.8	26975.2	32606.2	38729.1	46301.7	58254	30568.7			17778.4	13.56154	.414019			1972.36	4034.41	6688.59	9512.64	13405.4	16159.8	19544.4	24012.7	31119.2	15362.5			12842.2	15.77765	.454074			60.07215
"AL"	1980	46.29869	7602.15	10637	13532.6	16279.6	19111.8	21802.5	25190.6	29566.1	37090.7	21204.8	28.38428	199781.7	6019.28	4.878975	.327665	1269	1685930	4692.82	10999.6	15868.4	20801.9	26407.5	32097.8	38695.9	45942.7	57322.2	30286.3	82.96943	199781.7	10543.8	12.21487	.411574	726	974651.6	2039.26	4288.51	6745.08	9595.92	12649.5	15100.6	18318.1	23089.1	29623.1	14804.2	28.38428	120196.5	5944.71	14.5264	.436961	543	711278.2	41.72882
"AL"	1984	37.4827	6945.58	10568.6	13518.4	16216.2	19203.6	22406.2	25751.8	31152.1	39256.5	21665	25.95156	165224.9	8098	5.652012	.341069	1120	1801062	4673.17	10500.3	16082.8	21202.3	25593.7	31502	39093.9	47188.9	60862	30816.3	25.95156	165224.9	14157.2	13.02371	.420679	638	1034588	1972.36	4787.65	7425.12	10388.3	13058	16363.8	20136.4	24643.3	31671.7	15667.3	48.44291	129757.8	7676.26	16.05777	.438581	482	766474.5	33.22422
"AL"	1988	35.29863	7595.38	11134.7	13820.5	16939.2	19892.3	23308.8	27263.7	32745.8	42650.7	23226.5	16.71733	393563.8	10956.7	5.615348	.350156	907	1926720	5374.56	11196.1	16077.2	20897.3	25783.6	31344.3	38466.5	47996.1	64700.3	32345.2	227.9635	393563.8	18532.5	12.03825	.423235	492	1058453	2309.53	5522.19	8786.1	11525.1	14282	17510.9	21289.1	26944.7	35351.3	17329.9	16.71733	162376.9	9596.42	15.30671	.42913	415	868267.1	30.23146
"AL"	1992	30.72282	7901.36	11497.4	14353.6	17225.5	20389.5	23662.8	27747.6	33585.7	42914.3	23963.8	25.64103	198075.6	13152.4	5.431255	.349633	937	1996082	6219.77	11582	16453.7	20368.9	25417.2	31074.1	38303.5	48200.5	62437.8	31716.7	128.2051	198075.6	20204.8	10.0386	.418809	496	1073241	2849.81	6354.49	9641.17	12834	15445.4	18413	22357.8	28456	40157.1	19146.1	25.64103	183993.6	12192.8	14.09115	.427783	441	922841.1	26.14038
"AL"	1996	31.66709	9274.22	12217.1	16026.8	19383.3	22782.8	26552.4	31322.4	37286	48280.3	27613.7	81.42202	451915.1	18963.7	5.205861	.354801	820	2128364	6331.33	12066.4	17093.1	22586.8	28670.8	34458.1	41586.7	51213.8	69662.2	36776.2	81.42202	451915.1	35360.4	11.00278	.443636	412	1106244	3724.29	6487.67	10483.6	13981.7	16847.5	20298	24992.2	31202.9	40484.7	20539.9	139.9083	145945	14809.1	10.87045	.432324	408	1022119	26.12707
"AL"	2000	31.50084	10158.2	14137.2	17897.4	21063.1	24601.2	28326.8	33254.4	40245.2	52002.5	30146.3	52.2466	279110.8	24052.5	5.119263	.358849	894	2289519	6327.8	14751.6	19907.5	25373.3	30698.6	36596.4	44138.6	55517.4	73318.7	40009	323.9289	279110.8	43062.5	11.58676	.447512	460	1183962	4418.7	8700.69	11896.6	15340.3	19534.2	24276.7	29500.3	35831	46157.8	24193.2	52.2466	206256	18934.3	10.44601	.420349	434	1105556	25.70658
