State,stcode,fips,year,demvote,repvote,wallacevote,dempercent,reppercent,population,income,p10income,p20income,p30income,p40income,p50income,p60income,p70income,p80income,p90income,meanincome,minincome,maxincome,sdincome,ineqincome,gini_income,n_income,nwgt_income,men_p10income,men_p20income,men_p30income,men_p40income,men_p50income,men_p60income,men_p70income,men_p80income,men_p90income,men_meanincome,men_minincome,men_maxincome,men_sdincome,men_ineqincome,men_gini_income,men_n_income,men_nwgt_income,wom_p10income,wom_p20income,wom_p30income,wom_p40income,wom_p50income,wom_p60income,wom_p70income,wom_p80income,wom_p90income,wom_meanincome,wom_minincome,wom_maxincome,wom_sdincome,wom_ineqincome,wom_gini_income,wom_n_income,wom_nwgt_income,medincome,GDP,GDPpc,Private,Agriculture,Farms,Mining,Utilities,Construction,Manufacturing,Finance_Insurance,Legal,Education,Health,Government,Government_federal,Government_military,Government_statelocal,cpideflator,statecpi,Private_share,Agriculture_share,Farms_share,Mining_share,Utilities_share,Construction_share,Manufacturing_share,Finance_Insurance_share,Legal_share,Education_share,Health_share,Government_share,Government_federal_share,Government_military_share,Government_statelocal_share,area_sqmi,area_sqkm,landarea_sqmi,landarea_sqkm,water_sqmi,water_sqkm,percent_water
Alabama,AL,1,1964,210732,479085,0,30.54897,69.45103,1919000,89.83488,3269.85,5731.07,7988.87,10318.3,13189.1,16007.3,18744.4,22230.3,28344.3,15451.6,58.13953,709877.9,2655.18,8.668379,0.415402,467,1139078.0,2178.63,5267.14,9868.54,15111.7,20049.0,26053.0,31463.9,37619.0,49310.1,24247.5,87.2093,709877.9,3755.25,22.63354,0.462627,292,720584.1,820.581,1702.98,3245.45,5612.27,9572.2,13574.7,17358.0,19207.9,24233.0,11400.0,58.13953,72674.42,1796.89,29.53152,0.473738,175,418494.1,76.68081,8201,427358.0,6900,312,283,115,235,379,2315,936,33,21,156,1301,516,197,589,.172,.1709,8413608.0,3.804414,3.450799,1.402268,2.865504,4.621387,28.22827,1141324.0,.4023899,.2560663,1902207.0,1586392.0,6.291915,2.402146,7182051.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1968,196579,146923,691425,18.99448,81.00552,1993000,92.18238,4469.95,7455.28,10050.3,12792.1,15580.2,18392.4,21310.7,24864.6,31836.9,17791.2,NA,NA,2283.13,7.122428,0.375007,NA,NA,2827.7,7443.68,12454.7,17418.0,23063.7,28854.4,34220.2,40315.4,51400.0,27076.8,NA,NA,4719.77,18.17732,0.448294,NA,NA,959.055,2322.77,3975.34,6372.67,9474.01,12644.2,16416.9,19881.2,26287.5,12005.3,NA,NA,1968.78,27.40979,0.48509,NA,NA,80.72643,10949,5493728.0,9095,294,253,133,294,499,3147,1169,47,40,244,1854,651,288,915,.193,.191,8306695.0,2.685177,2.310713,1.214723,2.685177,4.557494,28.74235,1067677.0,.4292629,.3653302,2228514.0,1693305.0,5.945748,2.630377,8356928.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1972,256923,728701,0,26.06704,73.93296,3540080,94.87543,6734.11,10314.8,13336.3,16421.5,19088.9,22141.6,25410.7,30077.6,37922.1,22011.1,NA,NA,10283.1,5.631346,0.340101,NA,NA,3940.17,9953.29,15318.5,20853.8,26436.6,32370.1,38480.4,46288.5,59564.4,31416.5,NA,NA,14587.8,15.11722,0.425494,NA,NA,1697.6,3736.45,6202.0,9232.17,12629.9,15690.7,18924.7,23216.9,30278.0,14667.9,NA,NA,8604.25,17.83577,0.457932,NA,NA,82.27975,15336,4332105.0,12696,481,418,223,435,702,3996,1761,72,68,398,2640,873,411,1356,.232,.2294,827856.0,3.136411,2.725613,1.454095,2.836463,4.577465,26.05634,1148279.0,.4694836,.4434012,2595201.0,172144.0,5.692488,2.679969,8841941.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1976,659170,504070,0,56.66673,43.33327,3737204,67.53671,7759.81,11176.6,13823.2,16431.8,18982.8,21923.5,25180.8,30444.1,37684.0,21341.6,NA,NA,12348.9,4.856305,0.323022,NA,NA,4295.53,10615.2,15874.7,21446.8,26975.2,32606.2,38729.1,46301.7,58254.0,30568.7,NA,NA,17778.4,13.56154,0.414019,NA,NA,1972.36,4034.41,6688.59,9512.64,13405.4,16159.8,19544.4,24012.7,31119.2,15362.5,NA,NA,12842.2,15.77765,0.454074,NA,NA,60.07215,24206,6477035.0,19988,781,683,584,714,1281,6016,2785,116,87,723,4218,1401,546,2272,.316,.307,8257457.0,3.226473,2.821615,2.412625,2.949682,5.292076,24.85334,1150541.0,.47922,.359415,2986863.0,1742543.0,5.787821,2.255639,9386103.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1980,636730,654192,0,49.32366,50.67634,3894025,46.29869,7602.15,10637.0,13532.6,16279.6,19111.8,21802.5,25190.6,29566.1,37090.7,21204.8,28.38428,199781.7,6019.28,4.878975,0.327665,1269,1685930.0,4692.82,10999.6,15868.4,20801.9,26407.5,32097.8,38695.9,45942.7,57322.2,30286.3,82.96943,199781.7,10543.8,12.21487,0.411574,726,974651.6,2039.26,4288.51,6745.08,9595.92,12649.5,15100.6,18318.1,23089.1,29623.1,14804.2,28.38428,120196.5,5944.71,14.5264,0.436961,543,711278.2,41.72882,36006,9246474.0,29567,674,542,1351,1228,1588,8859,4189,234,127,1318,6439,2082,782,3575,.458,.4334,8211687.0,1.87191,1.505305,3.752152,3.410543,4.410376,24.60423,1163417.0,.6498917,.352719,3660501.0,1788313.0,5.78237,2.17186,9928901.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1984,551899,872849,0,38.7366,61.2634,3951766,37.4827,6945.58,10568.6,13518.4,16216.2,19203.6,22406.2,25751.8,31152.1,39256.5,21665.0,25.95156,165224.9,8098.0,5.652012,0.341069,1120,1801062.0,4673.17,10500.3,16082.8,21202.3,25593.7,31502.0,39093.9,47188.9,60862.0,30816.3,25.95156,165224.9,14157.2,13.02371,0.420679,638,1034588.0,1972.36,4787.65,7425.12,10388.3,13058.0,16363.8,20136.4,24643.3,31671.7,15667.3,48.44291,129757.8,7676.26,16.05777,0.438581,482,766474.5,33.22422,49713,1257995.0,41094,1101,894,1527,2177,1728,11896,5760,394,182,2014,8619,2730,1292,4598,.578,.5368,8266248.0,2.214712,1.798322,3.071631,4.379136,3.475952,23.92935,1158651.0,.7925493,.3661014,4051254.0,1733752.0,5.491521,2.598918,924909.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1988,549506,815576,0,40.25443,59.74557,4023902,35.29863,7595.38,11134.7,13820.5,16939.2,19892.3,23308.8,27263.7,32745.8,42650.7,23226.5,16.71733,393563.8,10956.7,5.615348,0.350156,907,1926720.0,5374.56,11196.1,16077.2,20897.3,25783.6,31344.3,38466.5,47996.1,64700.3,32345.2,227.9635,393563.8,18532.5,12.03825,0.423235,492,1058453.0,2309.53,5522.19,8786.1,11525.1,14282.0,17510.9,21289.1,26944.7,35351.3,17329.9,16.71733,162376.9,9596.42,15.30671,0.42913,415,868267.1,30.23146,65435,1626158.0,54314,1349,1078,1024,2583,2663,16557,7157,671,234,2991,11122,3468,1479,6175,.658,.6123,8300451.0,2.061588,1.647436,1.564912,3.947429,4.069687,25.30297,1093757.0,1.025445,.3576068,4570948.0,1699702.0,5.299916,2.260258,9436846.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1992,690080,804283,0,46.17887,53.82113,4154014,30.72282,7901.36,11497.4,14353.6,17225.5,20389.5,23662.8,27747.6,33585.7,42914.3,23963.8,25.64103,198075.6,13152.4,5.431255,0.349633,937,1996082.0,6219.77,11582.0,16453.7,20368.9,25417.2,31074.1,38303.5,48200.5,62437.8,31716.7,128.2051,198075.6,20204.8,10.0386,0.418809,496,1073241.0,2849.81,6354.49,9641.17,12834.0,15445.4,18413.0,22357.8,28456.0,40157.1,19146.1,25.64103,183993.6,12192.8,14.09115,0.427783,441,922841.1,26.14038,80450,1936681.0,66158,1629,1243,1075,2962,3060,18186,9332,956,291,4700,14292,4294,1659,8340,.78,.7252,8223493.0,2.02486,1.545059,1.336234,3.68179,3.803605,22.60534,1159975.0,1.188316,.3617153,5842138.0,1776507.0,5.337477,2.06215,1036669.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,1996,662165,769044,0,46.26613,53.73387,4331102,31.66709,9274.22,12217.1,16026.8,19383.3,22782.8,26552.4,31322.4,37286.0,48280.3,27613.7,81.42202,451915.1,18963.7,5.205861,0.354801,820,2128364.0,6331.33,12066.4,17093.1,22586.8,28670.8,34458.1,41586.7,51213.8,69662.2,36776.2,81.42202,451915.1,35360.4,11.00278,0.443636,412,1106244.0,3724.29,6487.67,10483.6,13981.7,16847.5,20298.0,24992.2,31202.9,40484.7,20539.9,139.9083,145945.0,14809.1,10.87045,0.432324,408,1022119.0,26.12707,97941,2261341.0,82278,1848,1368,1585,3280,4268,21637,11580,1242,358,5902,15663,4126,1589,9948,.872,.8136,8400772.0,1.88685,1.396759,1.618321,3.348955,4.357726,22.09187,1182344.0,1.26811,.3655262,6026077.0,1599228.0,4.21274,1.622405,1015714.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
Alabama,AL,1,2000,695602,944409,0,42.41447,57.58553,4447100,31.50084,10158.2,14137.2,17897.4,21063.1,24601.2,28326.8,33254.4,40245.2,52002.5,30146.3,52.2466,279110.8,24052.5,5.119263,0.358849,894,2289519.0,6327.8,14751.6,19907.5,25373.3,30698.6,36596.4,44138.6,55517.4,73318.7,40009.0,323.9289,279110.8,43062.5,11.58676,0.447512,460,1183962.0,4418.7,8700.69,11896.6,15340.3,19534.2,24276.7,29500.3,35831.0,46157.8,24193.2,52.2466,206256.0,18934.3,10.44601,0.420349,434,1105556.0,25.70658,114576,2576421.0,96817,2027,1294,1499,3093,5653,21056,5359,1463,502,7481,17759,4256,1498,12005,.957,.9085,8450024.0,1.769131,1.129381,1.308302,2.699518,4.933843,18.37732,4677245.0,1.276882,.4381371,6529291.0,1549976.0,3.714565,1.307429,1047776.0,52419.02,135765.0,50744.0,131426.0,1675.01,4338.0,3.2
