wine_id,taster_id,location_id,winery_id
0,10,898,11641
1,16,1143,12988
2,15,1586,13054
3,1,1544,14432
4,15,1586,14665
5,13,1299,14740
6,10,922,15046
7,16,226,15435
8,2,633,8433
9,16,226,9014
10,19,1440,9334
11,16,226,9987
12,19,1348,10277
13,10,898,10855
14,12,1370,11165
15,2,628,13278
16,13,19,7294
17,13,7,7853
18,13,1301,12690
19,1,1600,12874
20,1,1600,12874
21,15,1578,134
22,10,916,908
23,12,1457,1241
24,10,916,2083
25,19,1498,2519
26,10,918,14514
27,10,918,14514
28,10,890,15046
29,19,1377,4817
30,16,232,5980
31,NA,916,6710
32,NA,916,6710
33,NA,1385,6976
34,NA,1508,6976
35,15,1577,6995
36,13,175,7050
37,NA,916,7340
38,NA,972,7343
39,NA,916,7348
40,NA,916,7352
41,15,1586,8387
42,16,228,8466
43,NA,1457,13369
44,13,191,14636
45,NA,1600,14764
46,NA,916,14770
47,NA,1402,15161
48,NA,1598,15472
49,16,233,15884
50,NA,916,16265
51,13,175,2393
52,NA,905,2177
53,16,247,3380
54,NA,916,5227
55,NA,1440,13582
56,19,1451,14371
57,NA,916,14770
58,13,187,15416
59,17,1606,10999
60,19,1440,11798
61,10,761,12549
62,17,1606,13058
63,16,404,13454
64,12,1490,14039
65,16,304,14177
66,16,361,15893
67,17,1606,1053
68,8,1362,4965
69,16,404,5023
70,17,1606,6696
71,19,1348,6792
72,10,927,8194
73,19,1398,8565
74,19,1365,8565
75,19,1440,11459
76,2,633,13866
77,9,77,16642
78,15,1576,16684
79,16,1162,155
80,13,196,688
81,13,1279,14415
82,16,423,10115
83,9,70,11182
84,19,1440,11529
85,2,633,11944
86,17,1602,12016
87,19,1401,12136
88,10,1029,12600
89,10,1026,7262
90,19,1499,7322
91,19,1498,7537
92,19,1440,7649
93,3,111,7741
94,17,1606,7831
95,16,239,8466
96,16,242,8466
97,2,1555,8512
98,10,1016,14007
99,19,1440,14346
100,2,1555,15776
101,2,1555,9733
102,2,1555,9733
103,13,181,10075
104,10,1026,10444
105,10,1026,10630
106,10,1026,10632
107,10,1026,10632
108,12,1484,10775
109,10,1026,11892
110,16,233,12081
111,19,1531,12476
112,10,1026,12548
113,10,1026,12626
114,12,1457,12805
115,12,1457,12805
116,12,1490,13020
117,12,1371,13290
118,10,1026,14893
119,NA,226,6628
120,NA,845,2760
121,NA,1348,10893
122,NA,1467,10914
123,9,74,8470
124,NA,1440,14159
125,16,1232,9921
126,NA,226,12441
127,NA,226,12441
128,NA,226,9421
129,NA,1232,2008
130,NA,845,2760
131,NA,226,6628
132,16,1230,5609
133,NA,845,12581
134,NA,1440,4815
135,NA,845,7921
136,9,281,9789
137,16,1236,1091
138,NA,226,6628
139,NA,226,9421
140,NA,837,12575
141,NA,845,7921
142,NA,1487,959
143,NA,226,6538
144,19,1517,15014
145,12,1487,15074
146,12,1490,16146
147,12,1490,16146
148,2,633,16402
149,12,1422,16615
150,19,1440,16650
151,16,1132,8490
152,12,1367,261
153,12,1457,381
154,13,1261,10729
155,12,1486,1252
156,2,628,2280
157,16,1132,2391
158,10,996,2527
159,10,993,2559
160,16,588,4679
161,12,1457,4756
162,12,1387,4809
163,16,241,5032
164,13,161,5094
165,13,187,5106
166,16,607,5799
167,12,1457,6676
168,19,1440,6717
169,19,1468,6750
170,2,628,7732
171,2,628,7732
172,13,185,7774
173,15,1586,9850
174,9,1119,14568
175,NA,801,14928
176,13,187,15021
177,NA,996,8863
178,NA,1508,9291
179,16,304,9503
180,NA,1487,10592
181,NA,1355,10961
182,NA,993,95
183,13,29,250
184,NA,1498,484
185,13,175,633
186,NA,1352,8356
187,NA,916,101
188,13,175,16052
189,13,167,6931
190,NA,935,7200
191,9,74,8470
192,NA,1071,286
193,16,398,1217
194,NA,996,2056
195,NA,1035,2317
196,NA,1029,2766
197,11,1238,14398
198,19,1440,13992
199,8,1450,14110
200,10,993,14884
201,10,801,14993
202,14,706,16655
203,16,1133,153
204,12,1457,8895
205,12,1355,8895
206,19,1440,5274
207,19,1385,5593
208,11,1205,5597
209,9,561,6502
210,11,1238,6833
211,9,575,7174
212,13,1303,10877
213,12,1457,10970
214,19,1385,11427
215,14,701,11863
216,10,993,12569
217,16,1137,12924
218,19,1440,13378
219,7,694,13669
220,19,1498,14211
221,10,801,14437
222,10,993,14715
223,10,801,14993
224,13,4,11009
225,11,1232,11811
226,11,1232,11811
227,NA,1555,16325
228,NA,1554,15404
229,NA,1440,1162
230,18,1555,1354
231,13,7,502
232,NA,77,549
233,15,1586,14137
234,NA,752,14712
235,NA,1481,15074
236,NA,1384,10984
237,NA,767,5112
238,9,70,5423
239,NA,1415,5748
240,16,616,6170
241,NA,1440,7142
242,NA,1468,8395
243,NA,1555,8505
244,13,1312,8880
245,13,30,7424
246,NA,49,10197
247,NA,1507,16611
248,15,1586,472
249,NA,1598,840
250,NA,1348,1368
251,15,1586,4711
252,NA,1350,4938
253,13,4,5364
254,NA,1518,5516
255,19,1380,7062
256,11,1205,8036
257,11,1205,8101
258,11,1232,8362
259,16,588,15906
260,15,1586,16500
261,13,15,324
262,19,1440,1095
263,NA,1489,1883
264,11,1232,8971
265,11,1232,8971
266,13,7,9204
267,NA,772,10378
268,NA,1093,10634
269,16,116,10672
270,NA,805,10140
271,18,683,11496
272,NA,801,11517
273,13,12,11738
274,NA,875,12402
275,13,7,14357
276,NA,1499,14427
277,NA,1440,15374
278,15,1587,6995
279,NA,801,7673
280,16,115,7587
281,NA,1489,2012
282,10,1026,8700
283,15,1574,8884
284,13,8,16063
285,16,115,13651
286,NA,1354,14721
287,13,1253,137
288,16,115,9132
289,NA,1440,12072
290,16,282,3986
291,10,766,5711
292,16,406,5881
293,9,52,9307
294,13,11,7440
295,NA,1457,15399
296,13,187,15773
297,NA,1440,650
298,13,161,664
299,NA,872,799
300,NA,1440,1162
301,15,1606,1860
