location_id,country,province,region_1,region_2
1,Argentina,Mendoza Province,Agrelo,NA
2,Argentina,Mendoza Province,Altos de Mendoza,NA
3,Argentina,Mendoza Province,La Consulta,NA
4,Argentina,Mendoza Province,Luján de Cuyo,NA
5,Argentina,Mendoza Province,Maipú,NA
6,Argentina,Mendoza Province,Medrano,NA
7,Argentina,Mendoza Province,Mendoza,NA
8,Argentina,Mendoza Province,Perdriel,NA
9,Argentina,Mendoza Province,San Carlos,NA
10,Argentina,Mendoza Province,San Rafael,NA
11,Argentina,Mendoza Province,Tupungato,NA
12,Argentina,Mendoza Province,Uco Valley,NA
13,Argentina,Mendoza Province,Valle de Uco,NA
14,Argentina,Mendoza Province,Vista Flores,NA
15,Argentina,Mendoza Province,NA,NA
16,Argentina,Other,Alto Valle del Río Negro,NA
17,Argentina,Other,Argentina,NA
18,Argentina,Other,Buenos Aires,NA
19,Argentina,Other,Cafayate,NA
20,Argentina,Other,Calchaquí Valley,NA
21,Argentina,Other,Catamarca,NA
22,Argentina,Other,Famatina Valley,NA
23,Argentina,Other,Jujuy,NA
24,Argentina,Other,La Rioja,NA
25,Argentina,Other,Neuquén,NA
26,Argentina,Other,Patagonia,NA
27,Argentina,Other,Pedernal Valley,NA
28,Argentina,Other,Río Negro Valley,NA
29,Argentina,Other,Salta,NA
30,Argentina,Other,San Juan,NA
31,Argentina,Other,Tulum Valley,NA
32,Argentina,Other,Zonda Valley,NA
33,Armenia,Armenia,NA,NA
34,Australia,Australia Other,Australia,NA
35,Australia,Australia Other,Australia-New Zealand,NA
36,Australia,Australia Other,Central Ranges,NA
37,Australia,Australia Other,South Eastern Australia,NA
38,Australia,New South Wales,Gundagai,NA
39,Australia,New South Wales,Hilltops,NA
40,Australia,New South Wales,Hunter Valley,NA
41,Australia,New South Wales,Mudgee,NA
42,Australia,New South Wales,New South Wales,NA
43,Australia,New South Wales,Orange,NA
44,Australia,New South Wales,Riverina,NA
45,Australia,New South Wales,Southern Highlands,NA
46,Australia,New South Wales,Tumbarumba,NA
47,Australia,New South Wales,Western Plains,NA
48,Australia,South Australia,Adelaide,NA
49,Australia,South Australia,Adelaide Hills,NA
50,Australia,South Australia,Adelaide Plains,NA
51,Australia,South Australia,Barossa,NA
52,Australia,South Australia,Barossa Valley,NA
53,Australia,South Australia,Barossa-Adelaide Hills,NA
54,Australia,South Australia,Barossa-Langhorne Creek,NA
55,Australia,South Australia,Clare Valley,NA
56,Australia,South Australia,Clare Valley-Coonawarra,NA
57,Australia,South Australia,Clare Valley-Eden Valley,NA
58,Australia,South Australia,Clarendon,NA
59,Australia,South Australia,Coonawarra,NA
60,Australia,South Australia,Currency Creek,NA
61,Australia,South Australia,Currency Creek-McLaren Vale,NA
62,Australia,South Australia,Eden Valley,NA
63,Australia,South Australia,Fleurieu Peninsula,NA
64,Australia,South Australia,Henty,NA
65,Australia,South Australia,Kangaroo Island,NA
66,Australia,South Australia,Langhorne Creek,NA
67,Australia,South Australia,Langhorne Creek-Limestone Coast,NA
68,Australia,South Australia,Lenswood,NA
69,Australia,South Australia,Limestone Coast,NA
70,Australia,South Australia,McLaren Vale,NA
71,Australia,South Australia,McLaren Vale-Adelaide Hills,NA
72,Australia,South Australia,McLaren Vale-Langhorne Creek,NA
73,Australia,South Australia,McLaren Vale-Padthaway,NA
74,Australia,South Australia,Padthaway,NA
75,Australia,South Australia,Piccadilly Valley,NA
76,Australia,South Australia,Riverland,NA
77,Australia,South Australia,South Australia,NA
78,Australia,South Australia,Southern Fleurieu,NA
79,Australia,South Australia,Southern Flinders Ranges,NA
80,Australia,South Australia,Wrattonbully,NA
81,Australia,South Australia,NA,NA
82,Australia,Tasmania,Tasmania,NA
83,Australia,Victoria,Alpine Valleys,NA
84,Australia,Victoria,Beechworth,NA
85,Australia,Victoria,Bendigo,NA
86,Australia,Victoria,Central Victoria,NA
87,Australia,Victoria,Geelong,NA
88,Australia,Victoria,Gippsland,NA
89,Australia,Victoria,Goulburn Valley,NA
90,Australia,Victoria,Grampians,NA
91,Australia,Victoria,Heathcote,NA
92,Australia,Victoria,King Valley,NA
93,Australia,Victoria,Mornington Peninsula,NA
94,Australia,Victoria,Murray-Darling,NA
95,Australia,Victoria,Nagambie Lakes,NA
96,Australia,Victoria,Pyrenees,NA
97,Australia,Victoria,Rutherglen,NA
98,Australia,Victoria,Strathbogie Ranges,NA
99,Australia,Victoria,Swan Hill,NA
100,Australia,Victoria,Victoria,NA
101,Australia,Victoria,Yarra Valley,NA
102,Australia,Western Australia,Frankland River,NA
103,Australia,Western Australia,Geographe,NA
104,Australia,Western Australia,Great Southern,NA
105,Australia,Western Australia,Margaret River,NA
106,Australia,Western Australia,Mount Barker,NA
107,Australia,Western Australia,Mount Barker & Margaret River,NA
108,Australia,Western Australia,Pemberton,NA
109,Australia,Western Australia,Western Australia,NA
110,Austria,Austria,NA,NA
111,Austria,Burgenland,NA,NA
112,Austria,Carnuntum,NA,NA
113,Austria,Eisenberg,NA,NA
114,Austria,Kamptal,NA,NA
115,Austria,Kremstal,NA,NA
116,Austria,Leithaberg,NA,NA
117,Austria,Mittelburgenland,NA,NA
118,Austria,Neusiedlersee,NA,NA
119,Austria,Niederösterreich,NA,NA
120,Austria,Österreichischer Perlwein,NA,NA
121,Austria,Österreichischer Sekt,NA,NA
122,Austria,Steiermark,NA,NA
123,Austria,Südburgenland,NA,NA
124,Austria,Südoststeiermark,NA,NA
125,Austria,Südsteiermark,NA,NA
126,Austria,Thermenregion,NA,NA
127,Austria,Traisental,NA,NA
128,Austria,Vienna,NA,NA
129,Austria,Wachau,NA,NA
130,Austria,Wagram,NA,NA
131,Austria,Wagram-Donauland,NA,NA
132,Austria,Weinland Österreich,NA,NA
133,Austria,Weinviertel,NA,NA
134,Austria,Wiener Gemischter Satz,NA,NA
135,Bosnia and Herzegovina,Mostar,NA,NA
136,Brazil,Brazil,NA,NA
137,Brazil,Campanha,NA,NA
138,Brazil,Pinto Bandeira,NA,NA
139,Brazil,Santa Catarina,NA,NA
140,Brazil,Serra do Sudeste,NA,NA
141,Brazil,Serra Gaúcha,NA,NA
142,Brazil,Vale dos Vinhedos,NA,NA
143,Brazil,Vale Trentino,NA,NA
144,Bulgaria,Black Sea Coastal,NA,NA
145,Bulgaria,Bulgaria,NA,NA
146,Bulgaria,Danube River Plains,NA,NA
147,Bulgaria,Thracian Valley,NA,NA
148,Canada,British Columbia,British Columbia,NA
149,Canada,British Columbia,Okanagan Valley,NA
150,Canada,British Columbia,Similkameen Valley,NA
151,Canada,Canada Other,Canada,NA
152,Canada,Ontario,Beamsville Bench,NA
153,Canada,Ontario,Lake Erie North Shore,NA
154,Canada,Ontario,Niagara Escarpment,NA
155,Canada,Ontario,Niagara Peninsula,NA
156,Canada,Ontario,Niagara-On-The-Lake,NA
157,Canada,Ontario,Prince Edward County,NA
158,Canada,Ontario,Short Hills Bench,NA
159,Canada,Ontario,St. David's Bench,NA
160,Chile,Aconcagua Costa,NA,NA
161,Chile,Aconcagua Valley,NA,NA
162,Chile,Apalta,NA,NA
163,Chile,Bío Bío Valley,NA,NA
164,Chile,Buin,NA,NA
165,Chile,Cachapoal Valley,NA,NA
166,Chile,Casablanca & Leyda Valleys,NA,NA
167,Chile,Casablanca Valley,NA,NA
168,Chile,Casablanca-Curicó Valley,NA,NA
169,Chile,Cauquenes Valley,NA,NA
170,Chile,Central Valley,NA,NA
171,Chile,Chile,NA,NA
172,Chile,Choapa Valley,NA,NA
173,Chile,Coelemu,NA,NA
174,Chile,Colchagua Costa,NA,NA
175,Chile,Colchagua Valley,NA,NA
176,Chile,Curicó and Leyda Valleys,NA,NA
177,Chile,Curicó and Maipo Valleys,NA,NA
178,Chile,Curicó Valley,NA,NA
179,Chile,Elqui Valley,NA,NA
180,Chile,Itata Valley,NA,NA
181,Chile,Leyda Valley,NA,NA
182,Chile,Leyda Valley-Maipo Valley,NA,NA
183,Chile,Limarí Valley,NA,NA
184,Chile,Lolol Valley,NA,NA
185,Chile,Loncomilla Valley,NA,NA
186,Chile,Lontué Valley,NA,NA
187,Chile,Maipo Valley,NA,NA
188,Chile,Maipo Valley-Colchagua Valley,NA,NA
189,Chile,Malleco,NA,NA
190,Chile,Marchigue,NA,NA
191,Chile,Maule Valley,NA,NA
192,Chile,Molina,NA,NA
193,Chile,Peumo,NA,NA
194,Chile,Pirque,NA,NA
195,Chile,Puente Alto,NA,NA
196,Chile,Rapel Valley,NA,NA
197,Chile,Requinoa,NA,NA
198,Chile,Rio Claro,NA,NA
199,Chile,Sagrada Familia,NA,NA
200,Chile,San Antonio,NA,NA
201,Chile,San Clemente,NA,NA
202,Chile,Santa Cruz,NA,NA
203,China,China,NA,NA
204,Croatia,Croatia,NA,NA
205,Croatia,Dalmatian Coast,NA,NA
206,Croatia,Dingač,NA,NA
207,Croatia,Hrvatsko Primorje,NA,NA
208,Croatia,Hvar,NA,NA
209,Croatia,Istria,NA,NA
210,Croatia,Korčula,NA,NA
211,Croatia,Krk,NA,NA
212,Croatia,Kutjevo,NA,NA
213,Croatia,Middle and South Dalmatia,NA,NA
214,Croatia,North Dalmatia,NA,NA
215,Croatia,Peljesac,NA,NA
216,Croatia,Podunavlje,NA,NA
217,Cyprus,Commandaria,NA,NA
218,Cyprus,Cyprus,NA,NA
219,Cyprus,Kathikas,NA,NA
220,Cyprus,Lemesos,NA,NA
221,Cyprus,Pafos,NA,NA
222,Cyprus,Pitsilia Mountains,NA,NA
223,Czech Republic,Moravia,NA,NA
224,Egypt,Egypt,NA,NA
225,England,England,NA,NA
226,France,Alsace,Alsace,NA
227,France,Alsace,Crémant d'Alsace,NA
228,France,Beaujolais,Beaujolais,NA
229,France,Beaujolais,Beaujolais Blanc,NA
