taster_id,taster_name,taster_twitter_handle
1,Alexander Peartree,NA
2,Anna Lee C. Iijima,NA
3,Anne Krebiehl MW,@AnneInVino
4,Carrie Dykes,NA
5,Christina Pickard,@winewchristina
6,Fiona Adams,@bkfiona
7,Jeff Jenssen,@worldwineguys
8,Jim Gordon,@gordone_cellars
9,Joe Czerwinski,@JoeCz
10,Kerin O’Keefe,@kerinokeefe
11,Lauren Buzzeo,@laurbuzz
12,Matt Kettmann,@mattkettmann
13,Michael Schachner,@wineschach
14,Mike DeSimone,@worldwineguys
15,Paul Gregutt,@paulgwine 
16,Roger Voss,@vossroger
17,Sean P. Sullivan,@wawinereport
18,Susan Kostrzewa,@suskostrzewa
19,Virginie Boone,@vboone
