location_id,country,province,region
1,Argentina,Mendoza Province,Agrelo
2,Argentina,Mendoza Province,Altos de Mendoza
3,Argentina,Mendoza Province,La Consulta
4,Argentina,Mendoza Province,Luján de Cuyo
5,Argentina,Mendoza Province,Maipú
6,Argentina,Mendoza Province,Medrano
7,Argentina,Mendoza Province,Mendoza
8,Argentina,Mendoza Province,Perdriel
9,Argentina,Mendoza Province,San Carlos
10,Argentina,Mendoza Province,San Rafael
11,Argentina,Mendoza Province,Tupungato
12,Argentina,Mendoza Province,Uco Valley
13,Argentina,Mendoza Province,Valle de Uco
14,Argentina,Mendoza Province,Vista Flores
15,Argentina,Mendoza Province,NA
16,Argentina,Other,Alto Valle del Río Negro
17,Argentina,Other,Argentina
18,Argentina,Other,Buenos Aires
19,Argentina,Other,Cafayate
20,Argentina,Other,Calchaquí Valley
21,Argentina,Other,Catamarca
22,Argentina,Other,Famatina Valley
23,Argentina,Other,Jujuy
24,Argentina,Other,La Rioja
25,Argentina,Other,Neuquén
26,Argentina,Other,Patagonia
27,Argentina,Other,Pedernal Valley
28,Argentina,Other,Río Negro Valley
29,Argentina,Other,Salta
30,Argentina,Other,San Juan
31,Argentina,Other,Tulum Valley
32,Argentina,Other,Zonda Valley
33,Armenia,Armenia,NA
34,Australia,Australia Other,Australia
35,Australia,Australia Other,Australia-New Zealand
36,Australia,Australia Other,Central Ranges
37,Australia,Australia Other,South Eastern Australia
38,Australia,New South Wales,Gundagai
39,Australia,New South Wales,Hilltops
40,Australia,New South Wales,Hunter Valley
41,Australia,New South Wales,Mudgee
42,Australia,New South Wales,New South Wales
43,Australia,New South Wales,Orange
44,Australia,New South Wales,Riverina
45,Australia,New South Wales,Southern Highlands
46,Australia,New South Wales,Tumbarumba
47,Australia,New South Wales,Western Plains
48,Australia,South Australia,Adelaide
49,Australia,South Australia,Adelaide Hills
50,Australia,South Australia,Adelaide Plains
51,Australia,South Australia,Barossa
52,Australia,South Australia,Barossa Valley
53,Australia,South Australia,Barossa-Adelaide Hills
54,Australia,South Australia,Barossa-Langhorne Creek
55,Australia,South Australia,Clare Valley
56,Australia,South Australia,Clare Valley-Coonawarra
57,Australia,South Australia,Clare Valley-Eden Valley
58,Australia,South Australia,Clarendon
59,Australia,South Australia,Coonawarra
60,Australia,South Australia,Currency Creek-McLaren Vale
61,Australia,South Australia,Eden Valley
62,Australia,South Australia,Fleurieu Peninsula
63,Australia,South Australia,Henty
64,Australia,South Australia,Kangaroo Island
65,Australia,South Australia,Langhorne Creek
66,Australia,South Australia,Lenswood
