winery_id,winery
1,:Nota Bene
2,1+1=3
3,100 Percent Wine
4,1000 Stories
5,10Span
6,12 Linajes
7,12C Wines
8,13 Celsius
9,14 Hands
10,1752 Signature Wines
11,1789 Wines
12,18401 Cellars
13,1848 Winery
14,1850
15,19 Crimes
16,1912 Winemakers
17,2 Copas
18,2 Lads
19,2 Up
20,21 Grams
21,240 Days
22,25 Lagunas
23,29 & Oak Wines
24,2Hawk
25,2Plank
26,3 Badge Beverage
27,3 Ball
28,3 Horse Ranch Vineyards
29,3 Rings
30,3 Steves Winery
31,3 Stones
32,3000 BC
33,337 Wine Cellars
34,3Fools
35,4 Cellars
36,401K
37,42°S
38,428 Wines
39,460 Casina Bric
40,4R4U
41,50 Harvests
42,5OS Project
43,6 North
44,6 Under
45,60 North
46,60 Souls
47,6cepas6
48,75 Wine Co.
49,786 Wines
50,9 Mile Road
51,A Blooming Hill Vineyard
52,A Coroa
53,A to Z
54,a-non-ah-mus
55,A. Christmann
56,A. D. Coutelas
57,A. de Luze et Fils
58,A. Margaine
59,A. Parparoussis
60,A.A. Badenhorst Family Wines
61,A.P. Vin
62,A.R. Lenoble 
63,A.T. Richardson
64,A2O
65,Aaldering
66,Aaron
67,Abacela
68,Abad
69,Abad Dom Bueno
70,Abadía da Cova
71,Abadía de Acón
72,Abadía de Tortoreos
73,Abadía la Arroyada
74,Abadia Retuerta
75,Abarbanel
76,Abbadia Ardenga
77,Abbaye de Saint-Ferme
78,Abbaye De Tholomies
79,Abbaye Sylva Plana
80,Abbazia di Novacella
81,Abbazia Monte Oliveto
82,Abbazia Santa Anastasia
83,Abbey Creek
84,Abbeyville
85,Abbona Marziano
86,Abbot's Passage
87,Abbotts Delaunay
88,Abeja
89,Abelis Carthago
90,Aberrant Cellars
91,Abiqua Wind
92,Abraham Perold
93,Abrazo
94,Acacia
95,Acaibo
96,Accadia
97,Accordini Igino
98,Acentor
99,Achaia Clauss
100,Achaval-Ferrer
101,Acinum
102,Ackerman
103,Ackerman Family Vineyards
104,Aconcagua
105,Aconga
106,Acordeón
107,Acorex
108,Acorn
109,Acquiesce
110,Acre Twenty-one
111,Acrobat
112,Acumen
113,Acústic
114,Ad Lib
115,Ad Vivum
116,Ada Nada
117,Adair Bachman
118,Adalia
119,Adamant Cellars
120,Adami
121,Adams Bench
122,Adanti
123,Addendum
124,Adega Algueira
125,Adega Cachín
126,Adega Cooperativa da Batalha
127,Adega Cooperativa de Borba
128,Adega Cooperativa de Vila Real
129,Adega Cooperativa do Cartaxo
130,Adega Cooperativa Ponte de Barca
131,Adega Cooperativa Ponte de Lima
132,Adega de Cantanhede
133,Adega de Favaios
134,Adega de Monção
135,Adega de Penalva
136,Adega dos Eidos
137,Adega Mãe
138,Adega Mayor
139,Adega Northwest
140,Adega Vila Real
141,Adega Viuva Gomes
142,Adegas D'Altamira
143,Adegas Gran Vinum
144,Adegas Moure
145,Adegas Terra Santa
146,Adelaida
147,Adelaida Cellars
148,Adelsheim
149,Aderezo
150,Adi Badenhorst & Duncan Savage
151,Adirondack Winery
152,Adler Fels
153,Admirable Family Vineyard
154,Adolph Mueller
155,Adoquin
156,Adrás
157,Adria Vini
158,Adriano Marco & Vittorio
159,Adzic
160,Aequorea
161,Aesthete
162,Aether Wine Company
163,African Passion
164,Agate Ridge
165,Ager Falernus
166,Agly Brothers
167,Agness
168,Agnitio
169,Agostina Pieri
170,Agostino Bosco
171,Agrapart & Fils
172,Agricola Bellaria
173,Agricola Castellana
174,Agricola Falset-Marca
175,Agrícola Labastida
176,Agricola Pace
177,Agricola Pugliano
178,Agricola Punica
179,Agricola Tamburini
180,Agricole Vallone
181,Agricoltori del Chianti Geografico
182,Agrina
183,Agrisole
184,Agro de Bazán
185,Agrolaguna
186,Agros
187,Aguijón De Abeja
188,Aguirre
189,Agur
190,Agustí Torelló
191,Agustí Torelló Mata
192,Agustín Cubero
193,Agustinos
194,Aia Vecchia
195,Aidura
196,Aigner
197,Aiken
198,Aila
199,Aimé Roquesante
200,Airfield Estates
201,Airlie
202,Aitor Ider Balbo
203,Akarua
204,Al
205,Al Zagal
206,Al-Cantàra
207,Alain Brumont
208,Alain Girard et Fils
209,Alain Graillot
210,Alain Jaume et Fils
211,Alamos
212,Alan de Val
213,Alana Estate
214,Alaverdi Monastery Cellar
215,Alba
216,Alba Roja
217,Albada
218,Albamar
219,Albatreti
220,Albatross Ridge
221,Albemarle
222,Albeno Munari
223,Albert Besombes
224,Albert Bichot
225,Albert Morot
226,Alberti 154
227,Albertina
228,Alberto Longo
229,Alberto Nani
230,Alberto Oggero
231,Alberto Orte
232,Alberto Voerzio
233,Albet I Noya
234,Albino Armani
235,Albino Piona
236,Albino Rocca
237,Albis
238,Alcance
239,Alcardet
240,Alchemist
241,Áldás
242,Aldegheri
243,Alder Fels
244,Alder Ridge
245,Alder Springs
246,Alderbrook
247,Aldo Clerico
248,Aldo Conterno
249,Aldonia
250,Alegra
251,Aleksander
252,Além
253,Alente
254,Alentex
255,Aleo
256,Alessandro di Camporeale
257,Alessandro Rivetto
258,Alessandro Tofanari
259,Alessandro Veglio
260,Alessio Komjanc
261,Aletta
262,Alex
263,Alex Gambal
264,Alexana
265,Alexander
266,Alexander the Grape
267,Alexander Valley Vineyards
268,Alexander-Smith
269,Alexandra Wine Company
270,Alexandre Monmousseau
271,Alexandria Nicole
272,Alexis Sauvion
273,Alfasi
274,Alfred Gratien
275,Alfredo Roca
276,Algairen
277,Algodon
278,Alheit
279,Alias
280,Alice White
281,Alidis
282,Alienor
283,Alion
284,Aljibes
285,Alkoomi
286,All About Red
287,Allan Scott
288,Allandale
289,Allée Bleue
290,Allegorie
291,Allegrini
292,Alleromb
293,Alliance Loire
294,Alliata
295,Allimant-Laugner
296,Alloro
297,Allram
298,Allure
299,Alma Andina
300,Alma de Cattleya
301,Alma de los Andes
302,Alma del Sur
303,Alma Fria
304,Alma Negra
305,Alma Rosa
306,Alma Sol
307,Almacruz
308,AlmaTerra
309,Almaviva
310,Almez
311,Almira
312,Almquist
313,Alois
314,Alois Lageder
315,Aloja
316,Alonso del Yerro
317,Alpamanta
318,Alpasión
319,Alpataco
320,Alpha Crucis
321,Alpha Estate
322,Alpha Loire
323,Alpha Omega
324,Alphart
325,Alphonse Mellot
326,Alta
327,Alta Alella
328,Alta Cima
329,Alta Colina
330,Alta Delta
331,Alta Luna
332,Alta Maria
333,Alta Pavina
334,Alta Vista
335,Altaïr
336,Altamana
337,Altamira
338,Altanza
339,Altas Quintas
340,Altavins
341,Altemasi
342,Alter Ego de Palmer
343,Altesino
344,Althéa
345,Alto 3
346,Alto Cinco
347,Alto de la Ballena
348,Alto Los Romeros
349,Alto Moncayo
350,Alto Roble
351,Altocedro
352,Altolandon
353,Altoona Hills
354,Altos de Cristimil
355,Altos de San Isidro
356,Altos de Sueño
357,Altos de Torona
358,Altos del Cuco
359,Altos del Marqués
360,Altos del Terral
361,Altos Las Hormigas
362,Altozano
363,Altvs
364,Aluvé
365,Alvarez de Toledo
366,Alvaro Castro
367,Alvaro Palacios
368,Alvear
369,Alves de Sousa
370,Alvinte
371,Alyris
372,Alysian
373,Alzania
374,Alzinger
375,Amaboko
376,Amador Cellars
377,Amador Foothill Winery
378,Amador Garcia
379,Amadores
380,Amalaya
381,Amalia
382,Amalie Robert
383,Amantis
384,Amaral
385,Amarano
386,Amastuola
387,Amathia
388,Amatore
389,àMaurice
390,Amavi
391,Amayna
392,Ambasciata del  Buon Vino
393,Ambassador Vineyard
394,Ambiente
395,Ambition
396,Ambo Secco
397,Ambrogio e Giovanni Folonari
398,Ambrose
399,American Thread
400,Amézola
401,Amici
402,Amiran Vepkhvadze
403,Amisfield
404,Amity
405,Amity Vineyards
406,Amizade
407,Amizetta
408,Ammunition
409,Amor Fati
410,Amore di Amanti
411,Ampelos
412,Anaba
413,Anakena
414,Analemma
415,Analivia
416,Anam Cara
417,Ancestrale
418,Ancestry
419,Anciano
420,Ancien
421,Ancient Cellars
422,Ancient Oak Cellars
423,Ancient Peaks
424,Ancient Roots
425,Ancilla
426,Andean
427,Andean Sky
428,Andeluna
429,Andes Grapes
430,Andes Plateau
431,Andis
432,André Blanck et ses Fils
433,André Brunel
434,Andre et Mireille Tissot
435,André Guichot
436,André Kientzler
437,Andrea Felici
438,Andreola
439,Andrero
440,Andresen
441,Andretti
442,Andrew Hardy
443,Andrew Harris
444,Andrew Januik
445,Andrew Murray
446,Andrew Peace
447,Andrew Rich
448,Andrew Will
449,Andriano
450,Andrieux & Fils
451,Anecoop
452,Anemoi
453,Anew
454,Angel Camp
455,Angel Vine
456,Angel's Cup
457,Angel's Secret
458,Angela Estate
459,Angeli di Varano
460,Angeline
461,Angelo Cellars
462,Angels & Cowboys
463,Angerhof Tschida
464,Anglim
465,Angosto
466,Angove
467,Angove's
468,Angry Bunch
469,Angulo Innocenti
470,Angus The Bull
471,Aniello
472,Anier
473,Ànima Negra
474,Animale
475,Animo
476,Anita et André Kuhnel
477,Ankal
478,Anko
479,Anna Maria Abbona
480,Annabella
481,Anne Amie
482,Annefield Vineyards
483,Año Verde
484,Anomaly
485,Anonymous
486,Añoro
487,Anselmi
488,Anselmo Mendes
489,Ansgar Clüsserath
490,Ant Moore
491,Anta
492,Antadze
493,Antale
494,Anterra
495,Anthonij Rupert
496,Anthony Nappa
497,Anthony Road
498,Anthropology
499,Antic
500,Antica
501,Antica Corte
502,Antica Fratta
503,Antica Hirpinia
504,Antichi Vigneti di Cantalupo
505,Antichi Vinai 1877
506,Antico Castello
507,Antico Colle
508,Antier
509,Antigal
510,Antigua Bodega
511,Antigua Bodega Stagnari
512,Antinori
513,Antiquum Farm
514,Antis
515,Antiyal
516,Antler Hill
517,Antoine et Rachel Olivier
518,Antoine Moltès & Fils
519,Antoine Sanzay
520,Antoine Simoneau
521,AntoLin Cellars
522,Antolini
523,Anton Bauer
524,Antonelli
525,Antonin Rodet
526,Antonio Caggiano
527,Antonio Cesar Cavalli
528,Antonio Gonzalez
529,Antonio Lopes Ribeiro
530,Antonio Mas
531,Antonio Sanguineti
532,Antoniolo
533,Antonopoulos
534,Antonutti
535,Antucura
536,Anzivino
537,Apaltagua
538,Apanta
539,Apátsági
540,Apegadas Quinta Velha
541,Aperture
542,Apex
543,Apex II
544,Apogee
545,Apolloni
546,Apollonio
547,Apothic
548,Appollis
549,Apriori
550,Apsara
551,Aquas
552,Aquilina
553,Aquinas
554,Ara
555,Arachon
556,Aragus
557,Araldica
558,Aramis
559,Aranleón
560,Aratás
561,Arauco
562,Arbéta
563,Arbios
564,Arbol de Vida
565,Arboleda
566,Arbor Bench Vineyards
567,Arbor Brook
568,Arbor Crest
569,Arbor Hill
570,Arcadian
571,Arcane Cellars
572,Arché
573,Archer
574,Archer Roose
575,Archery Summit
576,Archeus
577,Archgate Cellars
578,Archimedes
579,Archium
580,Archival
581,Arcudi
582,Ardales
583,Ardenvoir
584,Ardiri
585,Ardiri Winery and Vineyards
586,Ardor
587,Arduini
588,Areo
589,Aresti
590,Argami
591,Argana
592,Arge & Tina
593,Argentiera
594,Argento
595,Argiano
596,Argie
597,Argillae
598,Argiolas
599,Argot
600,Argyle
601,Argyros
602,Ariano Hermanos
603,Árido
604,Aril
605,Arínzano
606,Arista
607,Armand de Brignac
608,Armanino Family Cellars
609,Armas de Guerra
610,Armida
611,Armilla
612,Armitage
613,Armosa
614,Armstrong Family
615,Arnaldo Caprai
616,Arnaldo Rivera
617,Arnaud Baillot
618,Arnaud de Villeneuve
619,Arndorfer
620,Arndt
621,Arnoux & Fils
